key,short_name,jurisdiction,full_cite,enacted_date,effective_date,effective_basis,operative_date,sunset_date,applies_to_sf,opt_in,eligibility_rule,target,category,category_name,secondary,source_url,verified,verdict
sb8,SB 8,CA,"SB 8 (Skinner), Stats. 2021, ch. 161",2021-09-16,2022-01-01,inferred,,2030-01-01,extends SB 330,no,,"SB 8, Skinner. Housing Crisis Act of 2019.",4,option term and vesting,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB8,yes,not measurable here
sb9,SB 9,CA,"SB 9 (Atkins), Stats. 2021, ch. 162",2021-09-16,2022-01-01,history note,,,single-family zones,yes,"shall ministerially approve, as set forth in this section, a parcel map for an urban lot split","SB 9, Atkins. Housing development: approvals.",5,feasible envelope,1,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB9,yes,partially usable
sb10,SB 10,CA,"SB 10 (Wiener), Stats. 2021, ch. 163",2021-09-16,2022-01-01,inferred,,,only where a city adopts an ordinance under it (none sought here),no,"up to 10 units of residential density per parcel, at a height specified in the ordinance","SB 10, Wiener. Planning and zoning: housing development: density.",5,feasible envelope,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB10,yes,not measurable here
ab2011,AB 2011,CA,"AB 2011 (Wicks), Stats. 2022, ch. 647",2022-09-28,2023-01-01,history note,2023-07-01,2033-01-01,"commercial-zone sites meeting its site, affordability and labour criteria",yes,"use by right and subject to one of 2 streamlined, ministerial review processes","AB 2011, Wicks. Affordable Housing and High Road Jobs Act of 2022.",1,arrival of discretion,5,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2011,yes,partially usable
sb6,SB 6,CA,"SB 6 (Caballero), Stats. 2022, ch. 659",2022-09-28,2023-01-01,inferred,2023-07-01,2033-01-01,commercial zones,yes,"allowable use on a parcel that is within a zone where office, retail, or parking are a principally permitted use","SB 6, Caballero. Local planning: housing: commercial zones.",5,feasible envelope,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB6,yes,not measurable here
ab2097,AB 2097,CA,"AB 2097 (Friedman), Stats. 2022, ch. 459",2022-09-22,2023-01-01,history note,,,within one-half mile of major transit,no,"shall not impose or enforce any minimum automobile parking requirement on a residential, commercial, or other development project if the project is located within one-half mile of public transit","AB 2097, Friedman. Residential, commercial, or other development types: parking requirements.",5,feasible envelope,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2097,yes,not measurable here
ab1633,AB 1633,CA,"AB 1633 (Ting), Stats. 2023, ch. 768",2023-10-11,2024-01-01,inferred,,,as the HAA,no,fails to make a determination of whether the project is exempt from CEQA or commits an abuse of discretion,"AB 1633, Ting. Housing Accountability Act: disapprovals: California Environmental Quality Act.",2,delay given discretion,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1633,yes,not measurable here
sb4,SB 4,CA,"SB 4 (Wiener), Stats. 2023, ch. 771",2023-10-11,2024-01-01,inferred,,2036-01-01,land of religious and higher-education institutions,yes,"use by right upon the request of an applicant who submits an application for streamlined approval, on any land owned by an independent institution of higher education or religious institution","SB 4, Wiener. Planning and zoning: housing development: higher education institutions and religious institutions.",1,arrival of discretion,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB4,yes,not measurable here
ab2243,AB 2243,CA,"AB 2243 (Wicks), Stats. 2024, ch. 272",2024-09-19,2025-01-01,history note,,,amends AB 2011 and SB 6,yes,,"AB 2243, Wicks. Housing development projects: objective standards: affordability and site criteria.",1,arrival of discretion,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2243,yes,not measurable here
ab68,AB 68,CA,"AB 68 (Ting), Stats. 2019, ch. 655",2019-10-09,2020-01-01,inferred,,,lots with a dwelling,yes,ministerially approve or deny a permit application for the creation of an accessory dwelling unit or junior accessory dwelling unit within 60 days,"AB 68, Ting. Land use: accessory dwelling units.",5,feasible envelope,1,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB68,yes,partially usable
ab881,AB 881,CA,"AB 881 (Bloom), Stats. 2019, ch. 659",2019-10-09,2020-01-01,inferred,,,lots with a dwelling,yes,,"AB 881, Bloom. Accessory dwelling units.",5,feasible envelope,1,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB881,yes,not measurable here
ab587,AB 587,CA,"AB 587 (Friedman), Stats. 2019, ch. 657",2019-10-09,2020-01-01,inferred,,,lots with a dwelling,yes,,"AB 587, Friedman. Accessory dwelling units: sale or separate conveyance.",5,feasible envelope,1,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB587,yes,not measurable here
ab2221,AB 2221,CA,"AB 2221 (Quirk-Silva), Stats. 2022, ch. 650",2022-09-28,2023-01-01,inferred,,,lots with a dwelling,yes,,"AB 2221, Quirk-Silva. Accessory dwelling units.",5,feasible envelope,1,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2221,yes,not measurable here
sb897,SB 897,CA,"SB 897 (Wieckowski), Stats. 2022, ch. 664",2022-09-28,2023-01-01,inferred,,,lots with a dwelling,yes,,"SB 897, Wieckowski. Accessory dwelling units: junior accessory dwelling units.",5,feasible envelope,1,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB897,yes,not measurable here
ab130,AB 130 (2025 budget trailer: housing),CA,"AB 130 (Committee on Budget), Stats. 2025, ch. 22",2025-06-30,2025-06-30,takes effect immediately,,,infill housing meeting Pub. Res. Code 21080.66,no,this division does not apply to any aspect of a housing development project,"AB 130, Committee on Budget. Housing.",2,delay given discretion,1,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB130,yes,not measurable here
sb131,SB 131 (2025 budget trailer: CEQA),CA,"SB 131 (Committee on Budget and Fiscal Review), Stats. 2025, ch. 24",2025-06-30,2025-06-30,takes effect immediately,,,as the bill specifies,no,This division does not apply to a rezoning that implements the schedule of actions contained in an approved housing element,"SB 131, Committee on Budget and Fiscal Review. Public Resources.",2,delay given discretion,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB131,yes,not measurable here
sb79,SB 79,CA,"SB 79 (Wiener), Stats. 2025, ch. 512",2025-10-10,2026-01-01,history note,2026-07-01,,near transit-oriented development stops; San Francisco adopted an alternative plan (Ord. 82-26),yes,,"SB 79, Wiener. Housing development: transit-oriented development.",5,feasible envelope,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB79,yes,not measurable here
rhna,Housing Element revision schedule,CA,Gov. Code 65588,,,a code section in force; its enactment was not read,,,every jurisdiction; the Bay Area's sixth-cycle due date is set by HCD's schedule (not read),no,,Each local government shall review its housing element as frequently as appropriate,5,feasible envelope,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=65588,yes,not measurable here
propc,Proposition C and Ord. 76-16,SF,Ord. 76-16 (File 160255),2016-05-03,2016-06-12,Board list,,,projects subject to the inclusionary program,no,,"will become effective only on the effective date of the 16 Charter amendment revising Section 16.110 at the June 7, 2016 election",3,stringency in dollars,,http://www.sfbos.org/ftp/uploadedfiles/bdsupvrs/ordinances16/o0076-16.pdf,yes,usable
ord158,Ord. 158-17 (inclusionary),SF,Ord. 158-17 (File 161351),2017-07-18,2017-08-26,Board list,,,projects with a complete EEA after 2016-01-12,no,,"following voter approval of Proposition Cat the June 7, 2016 election",3,stringency in dollars,,https://sfbos.archive.sf.gov/sites/default/files/o0158-17.pdf,yes,usable
ord193,Ord. 193-23 (fee vesting and waivers),SF,Ord. 193-23 (File 230764),2023-09-05,2023-10-16,Board list,,,projects owing impact fees,no,,"provide that the type and rates of applicable development impact fees, with the exception of inclusionary housing fees, shall be determined at the time of project approval",4,option term and vesting,3,https://sfbos.archive.sf.gov/sites/default/files/o0193-23.pdf,yes,partially usable
ord201,Ord. 201-23 (fee reductions),SF,Ord. 201-23 (File 230855),2023-10-03,2023-11-12,Board list,,,pipeline and 2023-26 approvals,no,,"reduce Article 4 development impact fees, including lnclusionary Affordable Housing fees",3,stringency in dollars,4,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,yes,usable
homesf,HOME-SF,SF,Ord. 116-17 (File 150969),2017-06-06,2017-07-13,Board list,,,projects that elect it,yes,,to add the Local Affordable Housing Bonus HOME-SF 5 Program,5,feasible envelope,1,https://sfbos.archive.sf.gov/sites/default/files/o0116-17.pdf,yes,partially usable
he2022,Housing Element 2022 Update,SF,Ord. 10-23 (File 230001),2023-01-31,2023-03-03,Board list,,,the whole city,no,,adopting the Housing Element 2022 Update as the Housing Element of the General Plan,5,feasible envelope,1,https://sfbos.archive.sf.gov/sites/default/files/o0010-23.pdf,yes,not measurable here
fhosud,Family Housing Opportunity SUD,SF,Ord. 195-23 (File 230026),2023-09-05,2023-10-16,Board list,,,eligible projects in RH districts within the SUD,no,,create the Family Housing Opportunity Special Use District,1,arrival of discretion,5,https://sfbos.archive.sf.gov/sites/default/files/o0195-23.pdf,yes,partially usable
hp2023,Housing Production (Ord. 248-23),SF,Ord. 248-23 (File 230446),2023-12-12,2024-01-14,Board list,,,specified housing projects outside the Priority Equity Geographies,no,,"exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311 and the Conditional Use requirement of Section 317",1,arrival of discretion,,https://sfbos.archive.sf.gov/sites/default/files/o0248-23.pdf,yes,usable
hp2024,Housing Production (Ord. 53-24),SF,Ord. 53-24 (File 231258),2024-03-12,2024-04-22,Board list,,,as 248-23,no,,"exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311",1,arrival of discretion,,https://sfbos.archive.sf.gov/sites/default/files/o0053-24.pdf,yes,usable
fzp,Family Zoning Plan,SF,Ord. 245-25 (File 250701),2025-12-09,2026-01-12,Board list,,,the rezoned areas,no,,create the Housing Choice-San Francisco Program to incent housing development through a local bonus program,5,feasible envelope,1,https://sfbos.archive.sf.gov/sites/default/files/o0245-25.pdf,yes,not measurable here
incwaiver,Inclusionary waiver for rent control (Ord. 260-25),SF,Ord. 260-25 (File 250815),2025-12-16,2026-01-23,Board list,,,outside the Priority Equity Geographies SUD,yes,,allow the City to waive the lnclusionary Housing Fee and other requirements,3,stringency in dollars,,https://sfbos.archive.sf.gov/sites/default/files/o0260-25.pdf,yes,not measurable here
feedefer,Impact-fee deferral (Ord. 196-25),SF,Ord. 196-25 (File 250657),2025-10-21,2025-11-24,Board list,,,designated residential projects,no,,postponing the collection of development impact fees for designated residential development projects,3,stringency in dollars,4,https://sfbos.archive.sf.gov/sites/default/files/o0196-25.pdf,yes,not measurable here
sitepermit,Site-permit streamlining (Ord. 154-23),SF,Ord. 154-23 (File 230374),2023-07-25,2023-08-28,Board list,,,site permits,no,,define and limit the scope of Building Official review of site permits,2,delay given discretion,,https://sfbos.archive.sf.gov/sites/default/files/o0154-23.pdf,yes,partially usable
cuappeal,CU appeals (Ord. 191-22),SF,Ord. 191-22 (File 220130),2022-09-06,2022-10-17,Board list,,,CU authorizations,no,,allow the signatures of Verified Tenants to count towards the threshold needed to permit an appeal of a Conditional Use authorization,2,delay given discretion,,https://sfbos.archive.sf.gov/sites/default/files/o0191-22.pdf,yes,not measurable here
mindens,Minimum densities (Ord. 292-24),SF,Ord. 292-24 (File 230596),2024-12-17,2025-01-19,Board list,,,"RM, RC and RTO districts",no,,require oonditional use authorization for residential housing developments that do not maximize minimum residential density,1,arrival of discretion,5,https://sfbos.archive.sf.gov/sites/default/files/o0292-24.pdf,yes,partially usable
july2026,The 25-unit ordinance of July 2026 (brief),SF,not found,,,,,,unknown,,,,3,stringency in dollars,,https://www.sf.gov/ordinances-2026,unverified,not measurable here
