locality,type,county,fips_geoid,regulating_body,minutes_platform,minutes_url,minutes_access,minutes_posted,zoning_host,zoning_url,zoning_access,zoning_structure,height_in_code,in_nzlud,minutes_solution_class,zoning_solution_class,tractability_tier,confidence,notes
Belvedere,city,Marin,0605164,City Council,custom CMS,https://www.cityofbelvedere.org/public-meetings-archive/,clean,yes,public.law,https://belvedere.municipal.codes/Code/19,clean,unknown,unknown,unknown,custom_cms,publiclaw_clean,needs_adapter,low,"ProudCity CMS (PDFs on googleapis) + legacy CivicPlus AgendaCenter still resolves; migrating, to_verify. Zoning public.law Title 19. REVIEW regulating_body (PC vs Council)."
Corte Madera,town,Marin,0616462,Planning Commission,CivicPlus,https://www.cortemadera.gov/AgendaCenter,clean,yes,Municode,https://library.municode.com/ca/corte_madera,clean,unknown,unknown,unknown,civicplus_clean,municode_api,needs_adapter,med,CivicPlus/CivicEngage AgendaCenter/DocumentCenter. Zoning Municode Title 18. to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]
Fairfax,town,Marin,0623168,Planning Commission,unknown,https://townoffairfaxca.gov/town-code/,unknown,unknown,American Legal,https://codelibrary.amlegal.com/codes/fairfax/latest/overview,akamai_403,unknown,unknown,unknown,unknown,amlegal_or_ecode_403,needs_adapter,med,"Zoning Title 17 amlegal (commonly gated). REVIEW: minutes page/platform not confirmed (WordPress/custom), to_verify."
Larkspur,city,Marin,0640438,Planning Commission,CivicPlus,https://www.ci.larkspur.ca.us/288/Agendas-and-Minutes,clean,yes,Municode,https://library.municode.com/ca/larkspur,clean,unknown,unknown,unknown,civicplus_clean,municode_api,needs_adapter,med,"CivicPlus (Archive.aspx?AMID=49, DocumentCenter). Zoning Municode. to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]"
Mill Valley,city,Marin,0647710,Planning Commission,Granicus/Legistar,https://cityofmillvalley.granicus.com,clean,yes,eCode360,https://ecode360.com/MI4968,clean,unknown,unknown,unknown,granicus_family_clean,ecode360_clean,clean,high,Granicus AgendaViewer. Zoning eCode360 Title 20. to_verify view_id.
Novato,city,Marin,0652582,Planning Commission,custom CMS,https://www.novato.gov/government/city-council/agendas-minutes-videos,clean,yes,Municode,https://library.municode.com/ca/novato,clean,unknown,unknown,unknown,custom_cms,municode_api,needs_adapter,med,Modern clean-slug CMS + separate PC archive; backend (Granicus embed vs custom) to_verify. Zoning Municode.
Ross,town,Marin,0662980,Planning Commission,custom CMS,https://www.townofrossca.gov/meetings,clean,yes,city site,https://www.townofrossca.gov/administration/page/municipal-code,clean,unknown,unknown,unknown,custom_cms,city_site,needs_adapter,med,Custom CMS. Zoning Title 18 self-hosted as town pages (not Municode/amlegal). Minutes + staff reports on /meetings.
San Anselmo,town,Marin,0664434,Planning Commission,CivicPlus,https://www.townofsananselmo.org,clean,yes,Municode,https://library.municode.com/ca/san_anselmo,clean,unknown,unknown,unknown,civicplus_clean,municode_api,needs_adapter,med,CivicPlus signatures. Zoning Municode Title 10. to_verify exact agendas/minutes URL + Akamai. [Akamai sweep 2026-06-08: clean 200]
San Rafael,city,Marin,0668364,Planning Commission,unknown,https://www.cityofsanrafael.org/city-council-meetings/,unknown,yes,Municode,https://library.municode.com/ca/san_rafael,clean,unknown,unknown,unknown,unknown,municode_api,needs_adapter,med,Zoning Municode Title 14. Meeting platform (Granicus embed vs other) to_verify.
Sausalito,city,Marin,0670364,Planning Commission,Granicus/Legistar,https://www.sausalito.gov/city-government/city-council/meetings-and-agendas,clean,yes,eCode360,https://ecode360.com/SA4880,clean,unknown,unknown,unknown,granicus_family_clean,ecode360_clean,clean,high,sausalito.granicus.com (archives 2011-present). Zoning eCode360; to_verify eCode360-vs-CodePublishing.
Tiburon,town,Marin,0678666,Planning Commission,Granicus/Legistar,https://www.townoftiburon.org/283/Agendas-Minutes-Staff-Reports,clean,yes,Municode,https://library.municode.com/ca/tiburon,clean,unknown,unknown,unknown,granicus_family_clean,municode_api,clean,high,CivicPlus numeric pages but document viewers are townoftiburon.granicus.com. Zoning Municode Ch.16.
Marin County,county,Marin,06041,Board of Supervisors / Planning Commission,Granicus/Legistar,https://www.marincounty.gov/departments/board/board-supervisors-meetings,clean,yes,Municode,https://library.municode.com/ca/marin_county/codes/municipal_code,clean,unknown,unknown,unknown,granicus_family_clean,municode_api,clean,high,Large unincorporated pop. BoS via marin.granicus.com. Zoning = Marin County Development Code Title 22 on Municode. to_verify which body for specific actions.
American Canyon,city,Napa,0601640,Planning Commission,CivicWeb,https://cityofamericancanyon.civicweb.net/Portal/MeetingInformation.aspx,clean,yes,American Legal,https://law.cityofamericancanyon.org/us/ca/cities/american-canyon/code,clean,per_district_sections,unknown,unknown,civicweb_portal,amlegal_or_ecode_403,needs_adapter,med,Granicus CivicWeb/iCompass portal + Granicus CDN PDFs. Zoning Title 19 on branded amlegal 'Law Library'. to_verify host = amlegal vs public.law.
Calistoga,city,Napa,0609892,Planning Commission,CivicWeb,https://www.ci.calistoga.ca.us/city-hall/city-council/agendas-minutes,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Calistoga/,clean,per_district_sections,unknown,unknown,civicweb_portal,codepublishing_clean,needs_adapter,med,Granicus CivicWeb portal; CivicEngage main site; YouTube video. Zoning CodePublishing Title 17; ecode360 mirror. REVIEW host.
Napa,city,Napa,0650258,Planning Commission,Granicus/Legistar,https://napacity.legistar.com/Calendar.aspx,clean,yes,QCode,https://qcode.us/codes/napa/,clean,per_district_sections,unknown,unknown,granicus_family_clean,qcode_clean,clean,high,Legistar minutes+video; CivicEngage AgendaCenter secondary. Zoning QCode Title 18.
St. Helena,city,Napa,0664140,Planning Commission,CivicPlus,https://www.cityofsthelena.gov/agendacenter,clean,yes,public.law,https://sthelena.municipal.codes/,clean,per_district_sections,unknown,unknown,civicplus_clean,publiclaw_clean,needs_adapter,med,CivicEngage AgendaCenter; sthelena.civicweb.net front also. New objective zoning Oct 2023. Zoning on municipal.codes (public.law family). to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]
Yountville,town,Napa,0686930,Planning Commission,CivicPlus,https://www.townofyountville.com/495/Agendas-and-Minutes,clean,yes,eCode360,https://ecode360.com/YO5040,clean,per_district_sections,unknown,unknown,civicplus_clean,ecode360_clean,needs_adapter,high,CivicEngage. Zoning eCode360 (14 districts). to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]
Napa County,county,Napa,06055,Board of Supervisors / Planning Commission,Granicus/Legistar,https://napa.legistar.com/Calendar.aspx,clean,yes,Municode,https://library.municode.com/ca/napa_county/codes/code_of_ordinances?nodeId=TIT18ZO,clean,per_district_sections,unknown,unknown,granicus_family_clean,municode_api,clean,high,Unincorporated (Ag/vineyards). Legistar; legacy 'AgendaNet' for older PDFs. Zoning Municode Title 18.
San Francisco,city,San Francisco,0667000,Planning Commission,custom CMS (SF Planning),https://sfplanning.org/cpc-hearing-archives,clean,yes,American Legal,https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/,unknown,per_district_sections,unknown,unknown,reference_done,reference_done,clean,high,REFERENCE ROW — SF pipeline already built (scrape→parse→label). Consolidated city-county (place GEOID 0667000). Not re-surveyed.
Atherton,town,San Mateo,0603092,Planning Commission,CivicPlus,https://www.athertonca.gov/641/Agendas-Minutes,clean,yes,public.law,https://atherton.municipal.codes/Code/17,clean,unknown,unknown,unknown,civicplus_clean,publiclaw_clean,needs_adapter,med,CivicPlus DocumentCenter/calendar. to_verify Akamai. Zoning Title 17 on atherton.municipal.codes (public.law family). [Akamai sweep 2026-06-08: clean 200]
Belmont,city,San Mateo,0605108,Planning Commission,Granicus/Legistar,https://belmont-ca.granicus.com/ViewPublisher.php?view_id=1,clean,yes,Municode,https://library.municode.com/ca/belmont/codes/code_of_ordinances,clean,unknown,unknown,unknown,granicus_family_clean,municode_api,clean,high,Granicus MetaViewer minutes. Zoning Municode.
Brisbane,city,San Mateo,0608310,Planning Commission,Municode Meetings,https://www.brisbaneca.org/meetings,js_shell,yes,Municode,https://library.municode.com/ca/brisbane,clean,unknown,unknown,unknown,municode_meetings_portal,municode_api,needs_adapter,med,REVIEW: minutes via Municode Meetings portal (meetings.municode.com adaHtmlDocument); packets on blob storage. Zoning Municode.
Burlingame,city,San Mateo,0609066,Planning Commission,Granicus/Legistar,https://burlingameca.legistar.com/Calendar.aspx,clean,yes,unknown,,unknown,unknown,unknown,yes,granicus_family_clean,unknown,needs_adapter,med,PILOT: clean Granicus MinutesViewer (burlingameca.legistar/granicus). Zoning host to_verify. in_nzlud=yes (pilot).
Colma,town,San Mateo,0614736,Planning Commission (to_verify),custom CMS,https://www.colma.ca.gov/departments/planning/,unknown,unknown,city site,https://www.colma.ca.gov/municipal-code/,unknown,unknown,unknown,unknown,custom_cms,city_site,unknown,low,Very small town. Custom CMS. PC cadence + minutes location to_verify (may be agendas-only/physical). Zoning Ch.5.03 on city site.
Daly City,city,San Mateo,0617918,Planning Commission,CivicClerk,https://dalycityca.portal.civicclerk.com,js_shell,sparse,unknown,,unknown,unknown,unknown,no,civicclerk_modern_api,unknown,needs_adapter,high,PILOT: CivicClerk modern API; minutes sparse (1/12 in API). Zoning host to_verify. in_nzlud=no (pilot).
East Palo Alto,city,San Mateo,0620956,Planning Commission,Granicus/Legistar,https://cityofepa.granicus.com,clean,yes,Municode,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances,clean,unknown,unknown,unknown,granicus_family_clean,municode_api,needs_adapter,med,Granicus video/agenda. Zoning 'Development Code' recodified 2025 on Municode. to_verify view_id.
Foster City,city,San Mateo,0625338,Planning Commission,CivicClerk,https://fostercityca.civicclerk.com/web/site.aspx/,js_shell,yes,CodePublishing,https://www.codepublishing.com/CA/FosterCity/,clean,unknown,unknown,unknown,civicclerk_modern_api,codepublishing_clean,needs_adapter,med,REVIEW: BOTH CivicClerk AND fostercity.primegov.com surfaced — verify which is live (leaning CivicClerk). Zoning CodePublishing.
Half Moon Bay,city,San Mateo,0631708,Planning Commission,CivicPlus,https://www.halfmoonbay.gov/AgendaCenter,clean,yes,CodePublishing,https://www.codepublishing.com/CA/HalfMoonBay/,clean,unknown,unknown,unknown,civicplus_clean,codepublishing_clean,needs_adapter,med,CivicEngage AgendaCenter. Zoning CodePublishing. to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]
Hillsborough,town,San Mateo,0633798,Planning Commission,CivicPlus,https://www.hillsborough.net/AgendaCenter,clean,yes,Municode,https://library.municode.com/ca/hillsborough/codes/code_of_ordinances,clean,unknown,unknown,unknown,civicplus_clean,municode_api,needs_adapter,med,CivicPlus AgendaCenter; also Architecture & Design Review Board. Zoning Municode. to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]
Menlo Park,city,San Mateo,0646870,Planning Commission,Granicus/Legistar,https://menlopark.granicus.com/ViewPublisher.php?view_id=6,clean,yes,CodePublishing,https://www.codepublishing.com/CA/MenloPark/,clean,unknown,unknown,unknown,granicus_family_clean,codepublishing_clean,needs_adapter,med,REVIEW: current minutes on new custom menlopark.gov; Granicus (view_id=6)=archive; legacy CivicPlus. Zoning Title 16 on CodePublishing + eCode360; to_verify primary.
Millbrae,city,San Mateo,0647486,Planning Commission,CivicPlus,https://www.ci.millbrae.ca.us/AgendaCenter/Planning-Commission-8/,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Millbrae/,clean,unknown,unknown,unknown,civicplus_clean,codepublishing_clean,needs_adapter,med,CivicPlus AgendaCenter. Zoning CodePublishing. to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]
Pacifica,city,San Mateo,0654806,Planning Commission,Granicus/Legistar,https://pacificacityca.iqm2.com/Citizens/Default.aspx,js_shell,yes,Municode,https://library.municode.com/ca/pacifica,clean,unknown,unknown,unknown,granicus_family_clean,municode_api,needs_adapter,med,IQM2 (Granicus) Citizens portal. Zoning Municode. to_verify IQM2 access.
Portola Valley,town,San Mateo,0658380,Planning Commission,CivicPlus,https://www.portolavalley.net/town-government/planning-commission/minutes-and-agendas,akamai_403,yes,Municode,https://library.municode.com/ca/portola_valley,clean,unknown,unknown,unknown,civicplus_akamai,municode_api,access_blocked,med,"CivicEngage Central (not classic AgendaCenter) — scrape path differs, to_verify. Zoning Municode Title 18. [Akamai sweep 2026-06-08: akamai_403 confirmed]"
Redwood City,city,San Mateo,0660102,Planning Commission,Hyland OnBase,https://meetings.redwoodcity.org/AgendaOnline,unsupported_platform,yes,unknown,,unknown,unknown,unknown,yes,onbase_portal,unknown,needs_adapter,high,PILOT: Hyland OnBase AgendaOnline; unsupported by civic-scraper. Zoning host to_verify. in_nzlud=yes (pilot).
San Bruno,city,San Mateo,0665028,Planning Commission,CivicPlus,https://www.sanbruno.ca.gov/AgendaCenter/Planning-Commission-8,clean,yes,unknown,,unknown,unknown,unknown,unknown,civicplus_clean,unknown,needs_adapter,med,PILOT: CivicPlus AgendaCenter. Zoning host + Akamai to_verify. [Akamai sweep 2026-06-08: clean 200]
San Carlos,city,San Mateo,0665070,Planning and Transportation Commission,PrimeGov,https://cityofsancarlos.primegov.com,js_shell,yes,CodePublishing,https://www.codepublishing.com/CA/SanCarlos/,clean,unknown,unknown,unknown,primegov_portal,codepublishing_clean,needs_adapter,med,PrimeGov current; sancarlosca.iqm2.com archive (pre-2022). Body = Planning and Transportation Commission. Zoning CodePublishing.
San Mateo,city,San Mateo,0668252,Planning Commission,PrimeGov,https://www.cityofsanmateo.org/3971,js_shell,unknown,public.law,https://law.cityofsanmateo.org/us/ca/cities/san-mateo/code/27,clean,unknown,deferred_to_GP_map,unknown,primegov_portal,publiclaw_clean,needs_adapter,med,"PILOT REVIEW: 'Public Meeting Portal' is CivicPlus-wrapped with PrimeGov signatures — vendor ambiguous, to_verify. Zoning Title 27 on public.law. height deferred to GP map."
South San Francisco,city,San Mateo,0673262,Planning Commission,eScribe,https://bm-public-ssf.escribemeetings.com,unsupported_platform,yes,unknown,,unknown,unknown,unknown,no,escribe_portal,unknown,needs_adapter,high,PILOT: eScribe Board Manager for minutes; + Legistar + Granicus video. Unsupported by civic-scraper. Zoning host to_verify. in_nzlud=no (pilot).
Woodside,town,San Mateo,0686440,Planning Commission,CivicPlus,https://www.woodsideca.gov/AgendaCenter/Planning-Commission-11,clean,yes,Municode,https://library.municode.com/ca/woodside,clean,unknown,unknown,unknown,civicplus_clean,municode_api,needs_adapter,med,CivicPlus AgendaCenter; approved minutes posted. Zoning Municode. to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]
