locality,fips_geoid,platform,api_endpoint_used,earliest_minutes_year,minutes_type_confirmed,continuity,gap_notes,confidence,method,flags
Calistoga,0609892,CivicWeb,ci.calistoga.ca.us,unknown,no_api,unknown,,low,City/CivicWeb endpoints unreachable (ECONNREFUSED) on repeated attempts; no readable depth,unreachable
Campbell,0610345,CivicPlus,https://www.campbellca.gov/AgendaCenter/Planning-Commission-6,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Colma,0614736,custom_CMS,https://www.colma.ca.gov/departments/planning/,unknown,no_api,unknown,,low,Custom CMS: no queryable API for archive depth,custom_cms_no_api
Concord,0616000,OnBase,stream.ci.concord.ca.us,unknown,no_api,unknown,,low,"OnBase AgendaOnline: search-limited, no clean document-type/date API for archive depth",onbase_no_depth_api
Cotati,0616560,CivicPlus,https://www.cotaticity.gov/AgendaCenter,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Cupertino,0617610,Legistar/Granicus,webapi.legistar.com/v1/cupertino,unknown,absent,unknown,,high,Legistar webapi /cupertino: events exist (status Final to 2005) but EventMinutesFile NULL across all — minutes not posted as files to Legistar,minutes_absent_in_api
Danville,0617988,Legistar/Granicus,danville-ca.granicus.com RSS,unknown,no_api,unknown,,low,Granicus minutes-RSS recency-capped (only 2025-2026 returned); prior probe: 'Summary of Actions' from ~2024. True earliest unverified,granicus_rss_recency_capped
Foster City,0625338,CivicClerk,fostercityca.civicclerk.com (legacy),unknown,no_api,unknown,,low,CivicClerk MODERN api absent (fostercityca uses legacy .civicclerk.com portal),legacy_civicclerk_no_modern_api
Half Moon Bay,0631708,CivicPlus,https://www.halfmoonbay.gov/AgendaCenter,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Livermore,0641992,Legistar/Granicus,,unknown,no_api,unknown,,low,"Legistar client slug unresolved (livermoreca/livermore); city uses Granicus GovAccess, no webapi client found",client_unresolved
Los Altos Hills,0643294,CivicPlus,https://www.losaltoshills.ca.gov/AgendaCenter,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Los Gatos,0644112,MunicodeMeetings,losgatos-ca.municodemeetings.com,unknown,no_api,unknown,,low,Municode Meetings (JS app): no clean public API for archive depth,municode_meetings_no_api
Marin County,06041,Legistar/Granicus,marin.granicus.com,unknown,no_api,unknown,,low,~2024 platform/domain migration; current Granicus archive starts 2024; pre-2024 minutes on a prior system (not API-readable here),migration_2024_pre_elsewhere
Millbrae,0647486,CivicPlus,https://www.ci.millbrae.ca.us/AgendaCenter/Planning-Commission-8/,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Monte Sereno,0648956,CivicPlus,https://www.montesereno.org/AgendaCenter,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Newark,0650916,other/unknown,https://www.newarkca.gov/departments/city-manager-s-office/meetings-agendas-minutes,unknown,no_api,unknown,,low,other/unknown: no clean queryable API for archive depth,no_api
Novato,0652582,custom_CMS,https://www.novato.gov/government/city-council/agendas-minutes-videos,unknown,no_api,unknown,,low,Custom CMS: no queryable API for archive depth,custom_cms_no_api
Oakley,0653070,CivicPlus,https://www.oakleyca.gov/agendacenter,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Pacifica,0654806,Legistar/Granicus,pacificacityca.iqm2.com,unknown,no_api,unknown,,low,"IQM2 year-nav shows meetings back to ~2008, but minutes-TYPE not verifiable via a clean API (column-label heuristic insufficient). Build-time row-level check needed",iqm2_archive_2008_minutes_type_unverified
Pleasant Hill,0657764,CivicPlus,https://www.phillca.gov/277/Agendas,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Richmond,0660620,Legistar/Granicus,richmond.granicus.com RSS,unknown,no_api,unknown,,low,"Granicus minutes-RSS returned only 2 Minutes items (2004-2008) — sparse/capped, inconclusive; prior probe: oldest rows video-only",granicus_rss_sparse_inconclusive
Rohnert Park,0662546,Legistar/Granicus,rpcity.granicus.com RSS,unknown,no_api,unknown,,low,Granicus minutes-RSS inconclusive (2 items); prior shallow probe confirmed minutes only 2024+,granicus_rss_inconclusive
Ross,0662980,custom_CMS,https://www.townofrossca.gov/meetings,unknown,no_api,unknown,,low,Custom CMS: no queryable API for archive depth,custom_cms_no_api
San Anselmo,0664434,CivicPlus,https://www.townofsananselmo.org,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
San Pablo,0668294,CivicPlus,https://www.sanpabloca.gov/1400/City-CouncilLSA-Planning-Comm-AgendasMin,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Santa Clara County,06085,Legistar/Granicus,sccgov.iqm2.com,unknown,no_api,unknown,,low,IQM2 archive to ~2008 PLUS 2024 'OneMeeting' migration for BoS; minutes-type not cleanly verifiable via API,iqm2_plus_2024_migration
Sonoma,0672646,CivicWeb,sonomacity.civicweb.net,unknown,yes,unknown,,med,CivicWeb MeetingTypeList exposes a Planning-Commission Minutes bucket labeled 'prior to 2017' — minutes VERIFIED to pre-date 2017; exact earliest year not displayed,civicweb_minutes_pre_2017_exact_unknown
Union City,0681204,NovusAgenda,unioncity.novusagenda.com,unknown,no_api,unknown,,low,NovusAgenda: no clean queryable document-type/date API; HTML noisy,novusagenda_no_clean_api
Windsor,0685922,CivicPlus,https://www.townofwindsor.ca.gov/67/Planning-Commission,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Yountville,0686930,CivicPlus,https://www.townofyountville.com/495/Agendas-and-Minutes,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
