locality,fips_geoid,best_form,spatial_url,source_type,download_apparent,confidence,notes
Emeryville,0622594,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,med,Covered by CA Statewide Zoning; native portal not checked.
Fairfax,0623168,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/116,regional,yes,high,MarinMap: Fairfax Zoning = layer 116; Marin GIS Open Data hub downloads.
Fairfield,0623182,gis_layer,https://services2.arcgis.com/SCn6czzcqKAFwdGU/ArcGIS/rest/services/City_of_Fairfield_Zoning/FeatureServer,regional,yes,high,Solano ReGIS: City_of_Fairfield_Zoning FeatureServer; consortium shapefile downloads.
Fremont,0626000,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,high,CA Statewide Zoning explicitly names Fremont; native city ArcGIS likely (not confirmed).
Gilroy,0629504,gis_layer,https://gis.lynxgis.com/arcgis/rest/services/Gilroy/GilroyZoning/MapServer,city_arcgis,yes,high,"GilroyZoning MapServer (REST, LynxGIS-hosted) + public viewer + 2040 Land Use PDF. No open-data hub download portal."
Hayward,0633000,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,med,Covered by CA Statewide Zoning; native portal not checked.
Larkspur,0640438,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/117,regional,yes,high,MarinMap: Larkspur Zoning = layer 117.
Livermore,0641992,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,med,Covered by CA Statewide Zoning; native portal not checked.
Marin County,06041,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/125,county_gis,yes,high,HIGH-ROI consortium: unincorporated Marin Zoning = layer 125; countywide MarinMap2 Open_Data_Download carries SEPARATE zoning layers for ALL 11 towns + county; gisopendata.marincounty.gov provides downloads.
Menlo Park,0646870,gis_layer,https://data.menlopark.gov/maps/zoning,city_opendata,yes,high,Zoning dataset on Menlo Park GIS Hub (Shapefile/GeoJSON). Also hub.arcgis.com/datasets/MenloPark::zoning.
Mill Valley,0647710,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/118,regional,yes,high,MarinMap: Mill Valley Zoning = layer 118.
Milpitas,0647766,gis_layer,https://milpitas-gis-milpitas.hub.arcgis.com/,city_opendata,yes,med,Milpitas ArcGIS Hub serves land-use/zoning downloads (Shapefile/GeoJSON/KML + WFS); single canonical 'Zoning Districts' URL not pinned.
Moraga,0649187,gis_layer,https://gis-moragatown.opendata.arcgis.com/datasets/789d3d821d0f4dfea71d777b0af93cca_1,city_opendata,yes,high,'Moraga Zoning' downloadable feature layer in town ArcGIS Hub (AGOL item 789d3d82...).
Mountain View,0649670,gis_layer,https://data-mountainview.opendata.arcgis.com/datasets/zoning-districts,city_opendata,yes,high,Zoning Districts layer on Mountain View OpenData (Shapefile/GeoJSON/CSV/KML + API) + Precise Plans layer.
Napa,0650258,gis_layer,https://services.arcgis.com/KYQI4l6C3kTBM5OU/arcgis/rest/services/Zoning_Districts/FeatureServer,city_arcgis,yes,high,City of Napa AGOL Zoning_Districts service (Extract enabled) + Experience Builder viewer + PDF. County hosted/Zoning has no Napa-city detail.
Napa County,06055,gis_layer,https://gis.napacounty.gov/arcgis/rest/services/hosted/Zoning/FeatureServer/0,county_gis,yes,high,"HIGH-ROI: countywide hosted/Zoning layer (48 zoning values; Query,Sync,Extract) detailed for unincorporated; cities appear only as placeholder polygons (city detail in per-city services above). Open data portal gisdata.napacounty.gov (WFS/GeoJSON)."
Newark,0650916,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,med,Covered by CA Statewide Zoning; native portal not checked.
Novato,0652582,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/119,regional,yes,high,MarinMap: Novato Zoning = layer 119.
Oakland,0653000,gis_layer,https://oakland-oakgis.opendata.arcgis.com/,city_arcgis,yes,high,"Native: Oakland ArcGIS open-data portal (CSV/KML/GeoJSON, WMS/WFS) + Planning & Zoning viewer. Also CA Statewide Zoning."
Palo Alto,0655282,gis_layer,https://opengis.cityofpaloalto.org/,city_opendata,yes,high,Palo Alto Open GIS publishes Zone District polygon layer (shapefile + REST); data.paloalto.gov has zoning datasets.
Petaluma,0656784,gis_layer,https://socogis.sonomacounty.ca.gov/map/rest/services/OWTSPublic/Zoning_City_Petaluma/FeatureServer,county_gis,yes,high,Open Data Petaluma hub Zoning Public layer + county-hosted REST feature service (socogis OWTSPublic/Zoning_City_Petaluma). Interactive viewer also.
Piedmont,0656938,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,med,"Covered by CA Statewide Zoning; small city, native unlikely/not checked."
Pittsburg,0657456,gis_layer,https://services6.arcgis.com/X3LnFc9yy269fH43/arcgis/rest/services/City_of_Pittsburg_Zoning/FeatureServer,city_arcgis,yes,high,'City of Pittsburg Zoning' hosted Feature Service (AGOL 43b662a1...); downloadable via copgis hub.
Pleasant Hill,0657764,gis_layer,https://services6.arcgis.com/XbzAj96XFjVnq4ZS/arcgis/rest/services/PLEASANT_HILL_ZONINGv2/FeatureServer,city_arcgis,yes,high,Hosted zoning Feature Service (AGOL 838d0fe1...); also a Land Use & Zoning viewer.
Pleasanton,0657792,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,med,Covered by CA Statewide Zoning; native portal not checked.
Redwood City,0660102,gis_layer,https://webgis.redwoodcity.org/community/,city_opendata,yes,high,Redwood City Community GIS provides zoning shapefile download; also open-rwc.opendata.arcgis.com hub.
Rio Vista,0660984,gis_layer,https://services2.arcgis.com/SCn6czzcqKAFwdGU/ArcGIS/rest/services/City_of_Rio_Vista_Zoning/FeatureServer,regional,yes,high,Solano ReGIS: City_of_Rio_Vista_Zoning FeatureServer.
Rohnert Park,0662546,gis_layer,https://socogis.sonomacounty.ca.gov/map/rest/services/OWTSPublic/Zoning_City_Rohnert_Park/FeatureServer,county_gis,yes,high,City zoning as feature service on Sonoma County socogis server (OWTSPublic/Zoning_City_Rohnert_Park); queryable/exportable.
Ross,0662980,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/120,regional,yes,high,MarinMap: Ross Zoning = layer 120.
San Anselmo,0664434,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/121,regional,yes,high,MarinMap: San Anselmo Zoning = layer 121.
San Francisco,0667000,gis_layer,https://data.sfgov.org/Geographic-Locations-and-Boundaries/Zoning-Districts/3i4a-hu95,city_opendata,yes,high,REFERENCE: SF has a DataSF Zoning Districts GIS layer (downloadable) plus the project's zoning_use_districts.pdf. Also covered by CA Statewide Zoning.
San Jose,0668000,gis_layer,https://data.sanjoseca.gov/dataset/zoning-districts,city_opendata,yes,high,"Zoning Districts dataset on San Jose Open Data (REST + Shapefile/GeoJSON/KML/CSV, weekly updates); also gisdata-csj hub."
San Leandro,0668084,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,med,Covered by CA Statewide Zoning; native portal not checked.
San Mateo County,06081,gis_layer,https://data-smcmaps.opendata.arcgis.com/datasets/planning-zones,county_opendata,yes,high,County 'Planning Zones' on data-smcmaps hub (Shapefile/GeoJSON) + REST. COVERAGE = UNINCORPORATED SMC ONLY (cities excluded).
San Rafael,0668364,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/122,regional,yes,high,MarinMap: San Rafael Zoning = layer 122.
San Ramon,0668378,gis_layer,https://gis.sanramon.ca.gov/server/rest/services/enCodePlus/Zoning/MapServer,city_arcgis,yes,high,City-hosted REST Zoning MapServer (+ enCodePlus/Zoning_Overlay); query/export.
Santa Clara,0669084,gis_layer,https://public-gis-missioncity.opendata.arcgis.com/datasets/city-of-santa-clara-zoning,city_opendata,yes,high,City of Santa Clara Zoning on the city's 'missioncity' ArcGIS open-data hub; downloadable + API.
Santa Clara County,06085,gis_layer,https://data.sccgov.org/Government/Zoning/7jea-atyv,county_opendata,yes,high,"Countywide Zoning = UNINCORPORATED ONLY (official Planning layer; Shapefile/GeoJSON/KML, WMS/WFS). Countywide parcel layer covers all parcels but parcels != zoning. No single all-cities zoning layer."
Santa Rosa,0670098,gis_layer,https://gisdata-santarosa.opendata.arcgis.com/datasets/zoning/,city_opendata,yes,high,Santa Rosa GIS open-data hub 'Zoning' dataset (Shapefile/GeoJSON/CSV/KML + WFS). Santa Rosa GIS also hosts viewers for Windsor/Cloverdale/Cotati.
Sausalito,0670364,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/123,regional,yes,high,MarinMap: Sausalito Zoning = layer 123.
Solano County,06095,gis_layer,https://services2.arcgis.com/SCn6czzcqKAFwdGU/ArcGIS/rest/services/SolanoCountyZoning_092322/FeatureServer,regional,yes,high,HIGH-ROI consortium: this org (SCn6czzcqKAFwdGU) hosts a zoning FeatureServer for EVERY Solano city + this unincorporated-county layer (updated 04/2025); regis.solanocounty.com/apps shapefile downloads.
Sonoma County,06097,gis_layer,https://services9.arcgis.com/vrAor4t4EOQc8QLZ/ArcGIS/rest/services/Sonoma_Zoning/FeatureServer,county_gis,yes,high,"HIGH-ROI county: Permit Sonoma 'Sonoma_Zoning' AGOL feature service + Sonoma County GIS Hub (Shapefile/KML/GeoJSON). COVERAGE: UNINCORPORATED only. Of cities, only Petaluma & Rohnert Park hosted on the same socogis server; others separate."
South San Francisco,0673262,gis_layer,https://data-southcity.opendata.arcgis.com/datasets/zoning,city_opendata,yes,high,Zoning dataset on city GIS/Open Data portal (data-southcity hub) + interactive Zoning App.
St. Helena,0664140,gis_layer,https://gis.napacounty.gov/arcgis/rest/services/hosted/St_Helena_Zoning/FeatureServer/0,county_gis,yes,high,"Dedicated St_Helena_Zoning polygon layer (Query,Extract) + ST_Helena_Landuse."
Suisun City,0675630,gis_layer,https://services2.arcgis.com/SCn6czzcqKAFwdGU/ArcGIS/rest/services/Suisun_City_Zoning/FeatureServer,regional,yes,high,Solano ReGIS: Suisun_City_Zoning FeatureServer.
Sunnyvale,0677000,gis_layer,https://sunnyvale-geohub-cityofsunnyvale.hub.arcgis.com/,city_opendata,yes,med,Sunnyvale GeoHub serves zoning (layer 16 of Base Map) with downloads + WFS; single standalone 'Zoning Districts' URL not pinned.
Tiburon,0678666,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/124,regional,yes,high,MarinMap: Tiburon Zoning = layer 124.
Union City,0681204,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,med,Covered by CA Statewide Zoning; native portal not checked.
Vacaville,0681554,gis_layer,https://services2.arcgis.com/SCn6czzcqKAFwdGU/ArcGIS/rest/services/City_of_Vacaville_Zoning/FeatureServer,regional,yes,high,Solano ReGIS: City_of_Vacaville_Zoning FeatureServer.
Vallejo,0681666,gis_layer,https://services2.arcgis.com/SCn6czzcqKAFwdGU/ArcGIS/rest/services/Vallejo_Zoning/FeatureServer,regional,yes,high,Solano ReGIS: Vallejo_Zoning FeatureServer; Vallejo also runs portal.cityofvallejo.net ArcGIS server.
Yountville,0686930,gis_layer,https://gis.napacounty.gov/arcgis/rest/services/hosted/Yountville_Zoning/FeatureServer/0,county_gis,yes,high,"Dedicated Yountville_Zoning polygon layer (provided by town, Jan 2024; Query,Extract)."
Antioch,0602252,gis_viewer_only,https://www.antiochca.gov/188/Planning-Division,city_arcgis,no,med,Zoning in 'Antioch Prospector' parcel viewer; no public REST zoning layer/download; city says contact Dev Engineering for GIS data.
Brentwood,0608142,gis_viewer_only,https://gis.brentwoodca.gov/html5/external.html,city_arcgis,no,med,"Zoning in GeoVault web map; gis.brentwoodca.gov REST root has only imagery/parks, no zoning service; data on request to Engineering."
Brisbane,0608310,gis_viewer_only,https://www.arcgis.com/apps/instant/lookup/index.html?appid=ee4c820124de4be7ba2f433083c42bcb,city_arcgis,no,med,Zone Lookup ArcGIS app; AGOL items 'Brisbane CA Zoning Districts' (397dc9fb...) suggest a hosted layer may exist (download unverified); PDF zoning map also.
Burlingame,0609066,gis_viewer_only,https://www.arcgis.com/apps/webappviewer/index.html?id=dc6ddd4d57c54beabcb447d86362d791,city_arcgis,no,med,Interactive zoning/Land Use Look-Up ArcGIS web app; static Zoning Map PDF also. No obvious data download.
Cloverdale,0614190,gis_viewer_only,https://maps.srcity.org/Html5Viewer/Index.html?viewer=Cloverdale,city_arcgis,no,med,GIS portal hosted on maps.srcity.org (Santa Rosa) as interactive viewer; no obvious download. Current static zoning PDF (June 2022) also. No open-data zoning layer.
Cotati,0616560,gis_viewer_only,https://maps.srcity.org/Html5Viewer/Index.html?viewer=cotati,city_arcgis,no,med,Property/zoning via Santa Rosa-hosted viewer (Cotati > Planning > Zoning); static zoning PDF at cotati.generalplan.org. No open-data layer.
Danville,0617988,gis_viewer_only,https://www.danville.ca.gov/425/Maps-GIS,city_arcgis,no,med,Open-data hub (data-danvillegis) catalog has Land Use but NO zoning dataset; zoning only via 'Danville Pioneer' viewer.
East Palo Alto,0620956,gis_viewer_only,https://www.cityofepa.org/planning/page/interactive-maps,city_arcgis,no,med,Zoning Designation interactive map; static official zoning PDF dated 2014. No data download apparent.
El Cerrito,0621796,gis_viewer_only,https://www.elcerrito.gov/984/City-GIS,city_arcgis,no,med,"Zoning via 'CommunityView' (Digital Map Products, not ArcGIS). No downloadable feature layer/REST found."
Foster City,0625338,gis_viewer_only,https://www.arcgis.com/apps/webappviewer/index.html?id=e34316ba2a5743d58e16a773be73b07c,city_arcgis,unknown,med,Parcels/Zoning ArcGIS web app; city hub data-fostercity.hub.arcgis.com may expose downloads (unconfirmed).
Half Moon Bay,0631708,gis_viewer_only,https://www.arcgis.com/apps/instant/basic/index.html?appid=e06e5813681849deaf36b88400a1a145,city_arcgis,no,med,Public Map Viewer (ArcGIS); static Zoning Map PDF also. No obvious download.
Hillsborough,0633798,gis_viewer_only,https://www.arcgis.com/apps/webappviewer/index.html?id=e9bb9b841b884d83ae3aeea85b993dc9,unknown,no,low,An ArcGIS 'Hillsborough Zoning Map' web app exists but ownership unverified (FL false positives). No confirmed CA download/PDF; needs direct check.
Lafayette,0639122,gis_viewer_only,https://www.lovelafayette.org/city-hall/maps,city_arcgis,no,med,Maps as PDF / CommunityView GIS viewer / Google KMZ export; no shapefile/feature-service download portal.
Los Altos,0643280,gis_viewer_only,https://www.losaltosca.gov/228/Public-GIS-Viewer,city_arcgis,no,med,Public GIS Viewer (backing map.losaltosca.gov MapServer) but no open-data download; Land Use/Zoning also PDFs.
Los Altos Hills,0643294,gis_viewer_only,https://gis.lynxgis.com/tlh,city_arcgis,no,med,Geocortex/Esri interactive map with zoning & land use (LynxGIS). No obvious data download/open-data hub.
Los Gatos,0644112,gis_viewer_only,https://www.losgatosca.gov/932/Look-Up-Property---Interactive-GIS-Map,city_arcgis,no,med,Geocortex/Esri interactive Town map includes zoning; zoning PDF also. Monte Sereno parcels also on this map.
Martinez,0646114,gis_viewer_only,https://www.cityofmartinez.org/departments/planning/communityview-maps,city_arcgis,no,med,Zoning via CommunityView (Digital Map Products). No downloadable feature layer/REST found.
Morgan Hill,0649278,gis_viewer_only,https://www.arcgis.com/apps/View/index.html?appid=a18138a3131c4689975d24ebf3cb5ab5,city_arcgis,no,med,ArcGIS interactive District/zoning viewer; static maps + KML + zoning PDF. No open-data hub with downloadable shapefile.
Oakley,0653070,gis_viewer_only,https://www.arcgis.com/home/item.html?id=522638a7bcc94c5082c92283a36645aa,city_arcgis,no,med,Zoning in interactive viewer; city directs GIS data requests to a Records Request Portal (no self-serve download).
Orinda,0654232,gis_viewer_only,https://www.cityoforinda.gov/296/Interactive-Zoning-Map-Beta,city_arcgis,no,med,Interactive ArcGIS zoning viewer (Beta); no obvious data download/feature-service endpoint.
Richmond,0660620,gis_viewer_only,https://www.ci.richmond.ca.us/3344/Mapping-Services,city_arcgis,no,med,"Richmond GeoHub data.json has only 'Zoning Confirmation Letters'/'BZA' point data, NO zoning-district polygon download; zoning shown in viewers only."
San Bruno,0665028,gis_viewer_only,https://www.sanbruno.ca.gov/144/FindView,city_arcgis,no,low,Find/View + Parcel Information tools include zoning lookup; no downloadable layer or PDF confirmed.
San Carlos,0665070,gis_viewer_only,https://mydashgis.com/SanCarlosZoning/auth/disclaimer,city_arcgis,no,med,Dedicated San Carlos Zoning viewer (mydashgis); city GIS portal gis.cityofsancarlos.org. No data download apparent.
San Mateo,0668252,gis_viewer_only,https://www.cityofsanmateo.org/2217/Maps-GIS,city_arcgis,no,med,Property Information Lookup viewer + planning maps; Zoning/Land Use GIS data only via a Geographic Information Data Request Form (not open download).
Sebastopol,0670770,gis_viewer_only,https://sebastopol.planeteria-development.com/City-Government/Departments-Services/Public-Works/GIS-Map-Site,city_arcgis,no,med,City GIS map site exposes zoning as a viewer; no download. Static zoning PDF dated May 2011 (likely not current). No open-data layer.
Sonoma,0672646,gis_viewer_only,https://www.sonomacity.org/sonoma-geographic-information-system-gis/,city_arcgis,no,med,"City HTML5 GIS viewer gives per-parcel zoning; no download. County Sonoma_Zoning covers only unincorporated, not City of Sonoma."
Walnut Creek,0683346,gis_viewer_only,https://www.walnutcreekca.gov/government/community-development-department/zoning/maps/zoning-web-map,city_arcgis,no,med,ArcGIS Instant App zoning web map (backed by a hosted layer) but no obvious public data-download portal.
Windsor,0685922,gis_viewer_only,https://www.townofwindsor.ca.gov/863/Geographic-Information-System,city_arcgis,no,med,"Town GIS portal/interactive map hosted by Santa Rosa; parcel/zoning viewable, no download. Permit Sonoma offers only a PDF urban-boundaries map."
Pacifica,0654806,none_found,,unknown,no,low,"No authoritative city zoning GIS layer, viewer, or PDF confirmed (Municode + ZoningPoint third-party only); city references County parcel maps. Time-boxed; needs deeper check."
Atherton,0603092,pdf_map,https://www.ci.atherton.ca.us/DocumentCenter/View/11964,city_pdf,no,med,Town zoning map PDF (2024 amendments). Town uses SMC County GIS enterprise data but no open city download found.
Clayton,0613882,pdf_map,https://claytonca.gov/fc/community-development/planning/zoning-map-january-2017.pdf,city_pdf,yes,high,Static PDF (Jan 2017). No city GIS/feature service or open-data hub found.
Colma,0614736,pdf_map,https://www.colma.ca.gov/documents/town-wide-zoning-map/,city_pdf,no,high,Town-wide zoning map PDF + parcel maps PDF. No GIS layer found.
Daly City,0617918,pdf_map,https://www.dalycity.org/1284/Zoning-Map,city_pdf,no,med,Zoning Map PDF (updated 2020) + Land Use Map PDF. No city GIS download found.
Healdsburg,0633056,pdf_map,https://ci.healdsburg.ca.us/DocumentCenter/View/836/Zoning-Map-PDF,city_pdf,no,med,Zoning Map PDF on Maps-For-Download page; GIS page mentions web maps but no zoning data download or viewer surfaced. No open-data layer.
Hercules,0633308,pdf_map,https://www.herculesca.gov/government/planning/land-use-zoning-regulations,city_pdf,yes,med,Only PDF zoning/overlay maps on city site. No Hercules feature service / open-data zoning layer found.
Millbrae,0647486,pdf_map,https://www.ci.millbrae.ca.us/DocumentCenter/View/575/Zoning-Map-PDF,city_pdf,no,high,Zoning Map PDF. No city GIS download found.
Monte Sereno,0648956,pdf_map,https://www.montesereno.org/DocumentCenter/View/3203/Zoning-Map-,city_pdf,no,high,Static Zoning Map PDF (2021); no city GIS hub. Parcels visible on Los Gatos map. No downloadable spatial layer.
Pinole,0657288,pdf_map,https://www.pinole.gov/wp-content/uploads/2024/06/Pinole_Zoning_2010-Map.pdf,city_pdf,yes,med,PDF zoning map (2010 base). No zoning feature service/open-data layer found.
Portola Valley,0658380,pdf_map,https://www.portolavalley.net/departments/planning-building-department/resource-center/guidelines-maps/zoning-map,city_pdf,no,med,Town zoning map PDF (~2004). No GIS layer found.
San Pablo,0668294,pdf_map,https://www.sanpabloca.gov/DocumentCenter/View/5277/San-Pablo-Zoning-Map-updated-2018,city_pdf,yes,med,PDF zoning map (2018). No San Pablo feature service / open-data zoning layer found.
Saratoga,0670280,pdf_map,https://www.saratoga.ca.us/DocumentCenter/View/596/Zoning-Map-PDF,city_pdf,no,high,Static Zoning Map PDF. A 'Builders Remedy' GIS map exists (not the zoning map); no downloadable zoning layer/open-data hub.
Woodside,0686440,pdf_map,https://woodsideca.gov/DocumentCenter/View/482/Zoning-Map-PDF,city_pdf,no,high,"Town zoning map PDF (Woodside GIS, rev 2017). No downloadable GIS layer found."
