item_id,case_number,year,extracted_block,extracted_lots,minutes_blocks,minutes_lots,classification,block_text
1071,98.760C,1998,1020,34,1020,34,lot absent from the parcel layer; extraction matches the minutes,"18.	98.760C								          (BILLOVITS)   		3439 SACRAMENTO STREET  (Assessor's Block 1020, Lot 34):  Conditional use application to create a new lot and construct a new four-story mixed-use building on a lot in excess of 5,000 square-feet in the Sacramento Street Neighborhood Commercial District, per Section 121.1 of the Planning Code.       	SPEAKER(S):		 Alice Barkley, Joseph Collins, Marnell Richardson, Ian Lawlor   		ACTION:		 Approved as Amended     AYES:		 Chinchilla, Theoharis, Antenore, Joe, Mills   		NAYES:		 None   		ABSENT:		 Martin, Hills     MOTION No.:		14760"
88,97.536D,1998,3727,7,3727;3775,23;7,lot recorded under a different block the item also names,"1. 97.536D (LI)    1100 HOWARD STREET , northwest corner at 7th Street, Lot 007 in Assessor's Block 3727 - Request for Discretionary Review of Building Permit Application No. 9714756, proposing to construct 14 live/work units in one building on a vacant lot (former gas station) in an SLR (Service/Light Industrial/Residential Mixed Use) District.    (Proposed for Continuance to March 5, 1998)     SPEAKERS: None     ACTION: Continued as shown     AYES: Chinchilla, Theoharis, Joe, Antenore, Mills, Martin     ABSENT: Hills         2 97.205D (LI)    599 - 3RD STREET , east side between Brannan Stre"
1189,98.459E,1999,4228,11,4228,11,lot absent from the parcel layer; extraction matches the minutes,"3. 98.459E (NAVARRETE)    1325 INDIANA STREET AND 1310 MINNESOTA STREET     - Appeal of a Preliminary Negative Declaration:  At mid-block in Assessor's    Block 4228, on Lot 11, the project site is located at 1325 Indiana Street and    1310 Minnesota Street, between 23rd and 25th Streets, within the Potrero Hill    neighborhood. The site is currently vacant. The proposed project assumes subdivision    of Lot 11 into two lots and construction of two four-story (with mezzanine)    buildings with 48 live/work units at 1325 Indiana Street and 30 units at 1310    Minnesota Street. Each building wou"
22736,2020-007481CUA,2022,7535,18,7535,18,lot absent from the parcel layer; extraction matches the minutes,"11. 2020-007481CUA (G. PANTOJA: (628) 652-7380) 5367 DIAMOND HEIGHTS BOULEVARD (1900 DIAMOND STREET) – east side of Diamond Heights Boulevard and between Gold Mine Drive and Diamond Street; Lot 018 in Assessor’s Block 7535 (District 8) – Request for Conditional Use Authorization for a Planned Unit Development (PUD) pursuant to Planning Code Sections 209.2, 303, and 304 for the subdivision of an existing approximately 34,714-square-foot lot into five lots and the construction of 14 residential buildings (10 duplexes and four single-family residences) for a total of 24 residential dwelling units"
5777,2001.0569L,2004,1006,121,1006,121,lot absent from the parcel layer; extraction matches the minutes,"16. 2001.0569L                                                                         (M. LUELLEN: (415) 558-6478)   3150 SACRAMENTO STREET - PRESIDO BRANCH CARNEGIE LIBRARY  - north side of Sacramento Street between Baker and Lyon Streets; Lot 0121 in Assessor's Block 1006 - Request for the Planning Commission to adopt a Resolution approving the designation of the Presidio Branch Carnegie Library as Landmark 240, and recommending to the Board of Supervisors that they approve the designation of the Carnegie Presidio Branch Library as Landmark No. 240. The subject property is zone P (Public), "
1248,1999.039D,1999,1213,4,1213,4,lot absent from the parcel layer; extraction matches the minutes,"5. 1999.039D (BEATTY)  550 STANYAN STREET , east side between Hayes and Fell Streets, Lot 004 in Assessor's Block 1213 -- Request for Discretionary Review of Building Permit Application No. 9810285, proposing to construct a nine-unit residential building in a RM-3 (Mixed, Medium Density) District.  (Proposed for Continuance to April 1, 1999)      SPEAKER(S):  None   ACTION:  Continued as Proposed   AYES:  Theoharis, Mills, Antenore, Chinchilla, Joe   NAYES:  None   ABSENT:  Martin"
718,97.553D,1998,2717,100,2717,100,lot absent from the parcel layer; extraction matches the minutes,"23.	97.553D				(WASHINGTON)  		3320-3326 MARKET STREET , south side between Iron and Copper Alleys, Lot 100 in Assessor's Block 2717 -- Request for Discretionary Review of Building Permit Application Nos. 9719338 and 9719339, proposing to construct four new residential units on two parcels in a RH-2 (House, Two-Family) District.    SPEAKERS: 	John Congi, Don Sullivan   	ACTION: No D.R.  Approved as proposed   	AYES: Chinchilla,  Joe, Antenore, Theoharis   	ABSENT: Martin, Mills, Hills"
1014,97.615D,1998,3970,5,3970,5,lot absent from the parcel layer; extraction matches the minutes,"17.	97.615D									(ALVIN)   		1800 BRYANT STREET , southwest corner of Bryant and 17th Streets (also fronting on Florida Street), Lot 005 in Assessor's Block 3970 -- Request for Discretionary Review of Building Permit Application No. 9801666, proposing to construct a 4-story, 48-unit live/work building with 48 parking spaces in a M-1 (Light Industrial) District.       	SPEAKER(S):		 Sue Hestor, Alice Barkley, Judy West, Anne Bebe, John Coughlin, Joseph McGuire, Curtis Eisenberger, Peter Chan, Joe O'Donoghue.   		ACTION:		 After closing the public hearing, the Commission continued this item t"
1538,98.172E,1999,4224,8,4224,8,lot absent from the parcel layer; extraction matches the minutes,"12. 98.172E (NISHIMURA)  1468 25TH STREET , northwest corner of Pennsylvania Avenue; Lot 8 in Assessor's Block 4224, within an M-1 (Light Industrial) District and a 40-X Height and Bulk District.  AN APPEAL OF A PRELIMINARY NEGATIVE DECLARATION . The project would be new construction of two 40-foot tall, four-story buildings containing 29 live/work units and 27 units, for a total of 56 live/work units on a vacant 33,300-square-foot lot. The two buildings would contain a total of 71,000 gross square feet. Fifty-six parking spaces would be provided in ground floor garages and in an on-site surfa"
1287,98.459E,1999,4228,11,4228,11,lot absent from the parcel layer; extraction matches the minutes,"3. 98.459E (NAVARRETE)   1325 INDIANA STREET AND 1310 MINNESOTA STREET  - Appeal of a Preliminary Negative Declaration:  At mid-block in Assessor's Block 4228, on Lot 11, the project site is located at 1325 Indiana Street and 1310 Minnesota Street, between 23rd and 25th Streets, within the Potrero Hill neighborhood. The site is currently vacant. The proposed project assumes subdivision of Lot 11 into two lots and construction of two four-story (with mezzanine) buildings with 48 live/work units at 1325 Indiana Street and 30 units at 1310 Minnesota Street. Each building would be approximately 55"
13117,2010.1118DD,2011,2704,17,2704,17,lot absent from the parcel layer; extraction matches the minutes,"2010.1118DD                                                                (R. CRAWFORD: (415) 558-6358)       952 MISSION  STREET   - north side between 5 th  and 6 th  Streets; Lot 017 in  Assessor’s Block 2704 -  Mandatory Discretionary Review for a Medical Cannabis  Dispensary , pursuant to Planning Code Section 217(k) of Building Permit  Application No. 2010 1222 7171, proposing to develop a Medical Cannabis  Dispensary (dba Grass Roots Cannabis) on the ground floor of an existing  building.  This project lies within a C-3-G (Downtown, General Commercial)  District, and within the 160-F H"
106,97.749C,1998,5501,32A;33;53;54,5501,32A;33;53;54,lot absent from the parcel layer; extraction matches the minutes,"1. 97.749C (BA?ALES)    3101 MISSION STREET , southeast corner of Cesar Chavez Street, with frontage on Precita Avenue; Lots 32A, 33, 53 and 54 in Assessor's Block 5501 -- Request for Conditional Use authorization of a Planned Unit Development (PUD) to construct a housing complex containing 55 affordable dwelling units, a community resource center and child care facility and a total of 44 parking spaces, with exceptions to Planning Code requirements for rear yard depth and parking, in an NC-3 (Neighborhood Commercial, Moderate Scale), 50-X Height and Bulk District and RH-2 (Residential-House, "
13083,2010.1162C,2011,3589,90,3589,90,lot absent from the parcel layer; extraction matches the minutes,"2010.1162C                                                                       (E. Jackson:  (415)  558-6363)       741 VALENCIA STREET  - east side  between 18 th  and 19 th  Streets; Lot 090 in Assessor’s Block  3589 -  Request for Conditional Use Authorization , pursuant to Planning  Code Sections 121.2, 303, 316, 726.24, and 726.41, to convert an existing  single-story office building to a new Full-Service Restaurant & Bar  Establishment with an Outdoor Seating Area (dba  Tacolicious ) that exceeds  the use size limitations for the Zoning District.  The Project is approximately  4,064 sq"
235,97.227E,1998,3753,66,,66,undetermined: the block text does not print a block and a lot,"3. 97.227E (GLASNER)    249 SHIPLEY STREET , 12 Live/Work Units: Appeal of Preliminary Negative     Declaration. The proposal is to construct 12 live/work units in one building at 249     Shipley Street (Assessor's 3753, Lot 66), on the south side of the street between 5th and     6th Streets. The project site is currently used for vehicle parking and a one-story taxi     maintenance building and three service bays on the southwest corner. The existing 13,625     square-foot lot would be subdivided into two lots, one facing Shipley Street     (approximately 5,625 square feet), and the other fr"
370,98.208D,1998,3729,67,3729,67,lot absent from the parcel layer; extraction matches the minutes,"14.  98.208D	(BAÑALES)    	723 TEHAMA STREET , south side between 8th and 9th Streets, Lot 067 in Assessor's Block 3729 - Request for Discretionary Review of Building Permit No. 9801230, proposing to convert a legally commercial building into four live/work units.  The project proposes a single-story vertical addition in a SLR (Service/Light Industrial/Residential Mixed Use) District.  	SPEAKERS: 	Sue Hestor, Brad Paul, Deborah Walker, Mark Bellshire, Bob Davis, Brett Gladstone     	ACTION: Take Discretionary Review and disapprove   	AYES: Chinchilla, Joe, Antenore, Theoharis   	NOES: Hills   "
5136,2003.0339C,2003,740,6,740,6,lot absent from the parcel layer; extraction matches the minutes,"1. 2003.0339C                                                                          (K. AMDUR:  (415) 558-6351)   625 LARKIN STREET  - southwest corner at Willow Street (between Eddy and Ellis Streets); Lot 006 in Assessor's Block 0740 - Request for conditional use authorization to modify the conditions of approval of Case No. 85.22EC as set forth in Motion No. 10328, which authorized the construction of a new 5-story building containing up to 8 dwelling units, approximately 6,000 square feet of commercial space and 11 parking spaces.  The proposal is to convert a portion of the 2nd floor o"
12842,2008.0021EKMPTWZ,2011,"7303-001, 7303-A-001, 7308-001, 7309-001, 7309-A-001, 7310-001, 7311-001, 7315-001, 7316-001, 7317-001, 7318-001, 7319-001, 7320-003, 7321-001, 7322-001, 7323-001, 7325-001, 7326-001, 7330-001, 7331-004, 7332-004, 7333-001, 7333-003, 7333-A-001, 7333-B-001, 7333-C-001, 7333-D-001, 7333-E-001, 7334-001, 7335-001, 7336-001, 7337-001, 7338-001, 7339-001, 7340-001, 7341-001, 7342-001, 7343-001, 7344-001, 7345-001, 7345-A-001, 7345-B-001, 7345-C-001, 7356-001, 7357-001, 7358-001, 7359-001, 7360-001, 7361-001, 7362-001, 7363-001, 7364-001, 7365-001, 7366-001, 7367-001, 7368-001, 7369-001, 7370-001",1,7303,,undetermined: the block text does not print a block and a lot,"2008.0021EKMPTWZ                                                                 (E. WATTY: (415)  558-6620)        3711 – 19 TH  AVENUE aka Parkmerced Mixed-Use Development Program      – generally bounded by Lake Merced Boulevard to the west, Brotherhood Way to the  south, Junipero Serra Boulevard, Felix Avenue, Cambon Drive, and 19th Avenue to  the east, and Holloway Avenue, Varela Avenue, Serrano Drive, Font Boulevard,  Pinto Avenue, and Vidal Drive to the north (Assessor’s Blocks 7303-001,  7303-A-001, 7308-001, 7309-001, 7309-A-001, 7310-001, 7311-001, 7315-001,  7316-001, 7317-001, 7318"
140,97.536E,1998,3727,7,3727,7,lot absent from the parcel layer; extraction matches the minutes,"9. 97.536E (NISHIMURA)    1100 HOWARD STREET , northwest corner of 7th Street, lot 7 in Assessor's Block 3727; within a South of Market SLR (Service/Light Industrial/Residential, Mixed Use) District and a 50-X Height and Bulk District. An Appeal of a Preliminary Negative Declaration published November 1, 1997, for a proposed project involving new construction of 14 live/work units in a four story, 49 foot tall, approximately 23,665 gross square foot building on an undeveloped 6,750 square foot lot currently used for privately leased parking and formerly used as a gasoline service station. Fift"
18375,2015-000737VAR,2018,2618,21;31,2618,21;31,lot absent from the parcel layer; extraction matches the minutes,"18b. 2015-000737VAR (J. HORN: (415) 575-6925) 60 CLIFFORD TERRACE – north side of Clifford Terrace between Upper Terrace and Roosevelt Way, Lots 021 and 031 in Assessor’s Block 2618 (District 8) – Request for Variances from the rear yard requirements of Planning Code Section 134 to construct new stairs and a landing located entirely with the required rear yards of both subject properties. The project site is located in a RH-2 (Residential-House, Two-Family) Zoning District and 40-X Height and Bulk District. SPEAKERS: Same as item 18a. ACTION: ZA indicated an intent to Deny"
2280,2000.078G,2000,3721,91,3721,91,lot absent from the parcel layer; extraction matches the minutes,"2000.078G ?????????????????????????????????????????????????????????????????????????????????  (KOMETANI: 558-6478)   580 HOWARD STREET , north side between First and Second Streets. ?  Lot 91 in Assessor's Block 3721 -- Request for approval under Planning Code Sections 1106 and 1107 to change the boundaries of the New Montgomery-Second Street Conservation District to include the subject property and to upgrade its Article 11 designation from ""Category V, Unrated"" to ""Category IV, Contributory.""   (Continued from Regular Meeting of June 1, 2000)   WITHDRAWN       SPEAKER(S): ??  None   ACTION: ?"
17860,2017-013609CND,2018,843,15,843,15,lot absent from the parcel layer; extraction matches the minutes,"1. 2017-013609CND (D. WEISSGLASS: (415) 575-9177) 668-678 PAGE STREET – north side of Page Street between Steiner and Fillmore Streets; Lot 015 in Assessor’s Block 0843 (District 5) – Request for a Condominium Conversion Subdivision, pursuant to Subdivision Code Sections 1332 and 1381, to convert a three- story-over-garage, six-unit building into residential condominiums. The subject property is located within a RH-3 (Residential – House, Three Family) Zoning District and 40-X Height San Francisco Planning Commission Thursday, February 1, 2018 and Bulk District. This action constitutes the App"
11058,2007.1267X,2008,3750,90,3750,90,lot absent from the parcel layer; extraction matches the minutes,"2007.1267X         (Tape IB)     (A. BEN-PAZI: (415) 575-9077)   631 FOLSOM STREET   - south-east side between 2 nd  and Hawthorne Streets, Lot 090 in Assessor's Block 3750 -  Request for an exemption pursuant to Section 309 to add 52 off-street parking spaces to the previously approved 64 off-street parking spaces in a mixed-use building currently under construction -  The building is to have 114 dwelling units, each containing at least two bedrooms and at least 1000 square feet. Under this proposal there will be a total of 116 off-street parking spaces, 108 of which will be stored and access"
205,98.144R,1998,3741,11;21;25;27;28;33,3741,11;21;25;27;28;33,lot absent from the parcel layer; extraction matches the minutes,"10. 98.144R (BADINER)    250 STEUART STREET , Assessor's Block 3741, Lots 11, 21, 25, 27, 28 and 33 -- The     GAP Building - Consideration of approval of a Resolution finding Amendments to the Rincon     Point-South Beach Redevelopment Design for Development Document in conformity with the     General Plan and Section 101.1 of the Planning Code.    Note:  This activity is within the scope of a program approved earlier,     and the program EIR along with subsequent environmental documents adequately describes the     activity for the purposes of CEQA.     SPEAKERS: Gram Wyatt, David Madway, Am"
600,97.528D,1998,4228,2,4228,2,lot absent from the parcel layer; extraction matches the minutes,"24.	97.528D	(BAÑALES)    1001-23RD STREET , south side between Indiana and Minnesota Streets, Lot 002 in Assessor's Block 4228 -- Request for Discretionary Review of Building Permit Application Nos. 9715550, and 9715552, proposing to demolish the existing buildings and construct three new buildings with 20 live/work units in each (total of 60 units) in a M-2 (Heavy Industrial) District.   		(Continued from Regular Meeting of July 16, 1998)    	NOTE : On 5/28/98, following testimony, the Commission closed the public hearing.  The Commission took Discretionary Review and indicated their intent t"
209,97.526D,1998,3995,25,3995,25,lot absent from the parcel layer; extraction matches the minutes,"13. 97.526D (BA?ALES)    2068 - 3RD STREET , west side between Mariposa and 18th Streets, Lot 025 in     Assessor's Block 3995 -- Request for Discretionary Review of Building Permit Application     No. 9714782, proposing to construct 16 live/work units on a vacant lot in a M-1 (Light     Industrial) District.    SPEAKERS: John J. Davis, Sue Hestor, Alice Barkley, David Stenberg, Ted     Karasick, Eugene Isotuff, Inge Zaluska, Joe O'Donoghue, Chung Lee    ACTION: Take DR and approve with instruction to project sponsor to continue     working with staff on ground floor facade.     AYES: Chinchil"
5223,2003.0636D,2003,636,42,636,42,lot absent from the parcel layer; extraction matches the minutes,"4. 2003.0636D                                    (F. JONES: (415) 558-6477)   28 SYLVAN DRIVE  - east side between Sloat Boulevard and Ocean Avenue, Lot 042 in Assessor's Block 0636 - Request for Discretionary Review of Building Permit Application No. 2002.12.02.3530, proposing to construct a three-story rear vertical addition to the existing two-story, single-family dwelling located in an RH-1 (Residential, House, One-Family) District and a 40-X Height and Bulk District.   Preliminary Recommendation: Do not take DR and approve the building permit as submitted.   (Proposed for Continuance to S"
15391,2013.0880C,2014,564C,25,564C,25,lot absent from the parcel layer; extraction matches the minutes,"2013.0880C                                                                                                       ( O. MASRY: (415) 575-9116)   2288 BROADWAY  –   at the northeast corner of Broadway and Fillmore Streets, Lot 025 in Assessor’s Block 0564C – Request for Conditional Use Authorization under Planning Code Sections 209.6(b) and 303 to allow a wireless telecommunications services (WTS) facility operated by AT&T Mobility.  The proposed macro WTS facility would feature five (5) panel antennas, facade-mounted to the rooftop penthouse. Related electronic equipment would be located on the "
1410,98.459D,1999,4228,11,4228,11,lot absent from the parcel layer; extraction matches the minutes,"12. 98.459D (BAÃ?ALES)   1325 INDIANA/1310 MINNESOTA STREETS , through lot from Indiana to Minnesota Streets, bounded by 23rd and 25th Streets, Lot 011 in Assessor's Block 4228 -- Request for Discretionary Review of Building Permit Application No. 9816598S, proposing the new construction of two live/work buildings: one with 30 units and one with 48 units -- for a total of 78 units in a M-2 (Heavy Industrial) District.   SPEAKER(S):  Alice Barkley, Sue Hestor   ACTION:  Continued to June 3, 1999   AYES:  Theoharis, Mills, Antenore, Chinchilla, Joe, Martin, Richardson   NAYES:  None   ABSENT:  N"
776,98.504CV,1998,1023,31,1023,31,lot absent from the parcel layer; extraction matches the minutes,"98.504CV 	(PEPPER)     3151 SACRAMENTO STREET , south side between Baker and Lyon Streets; Lot 031 in Assessor's Block 1023:  -- Request for Conditional Use authorization under Section 209.1(g) of the Planning Code for an increase in dwelling unit density to allow the construction of four dwelling on one lot units in an RH-2 (House, Two-Family) District and a 40-X Height and Bulk District.         (Proposed for Continuance to October 8, 1998)       SPEAKER(S):   	None     ACTION:  		Continued as proposed     AYES:    	Chinchilla, Mills,  Joe, Martin, Antenore     ABSENT:  		Theoharis, Hills   "
12050,2008.0395E,2010,114,3,114,3,lot absent from the parcel layer; extraction matches the minutes,"2. 2008.0395E (I. NISHIMURA: (415) 575-9041)   2130 Fulton Street  - University of San Francisco Center for Science and Innovation - north side, between Golden Gate, Masonic, and Parker Avenues; Lot 003 in Assessor’s Block 114 -  Public Hearing on an Appeal of the Preliminary Mitigated Negative Declaration.  The approximately 80,000-square-foot project site is on the Main Campus of the University of San Francisco, in the existing Harney Green and Harney Plaza area. The proposed project includes removal of Harney Green and Plaza; site excavation; and construction of a three-story with a partial"
5335,2003.0596M,2003,3771,330,3771,330,lot absent from the parcel layer; extraction matches the minutes,"15b. 2003.0596M (D. ALUMBAUGH: (415)  558-6601)   BRYANT STREET RESIDENTIAL TOWER  -   on the western side of Seawall Lot #330, being an approximately 22,600 square-foot-portion of Assessor's Block 3771, when subdivided in accordance with a Purchase and Sale Agreement approved by the Port Commission on March 25, 2003, and by the Board of Supervisors July 15, 2003. The block is bounded by Bryant Street, Beale Street and The Embarcadero. -- Request by the Port of San Francisco to adopt conforming amendments to Map 2 referred to in Policy 10.26 in the Northeastern Waterfront Area Plan of the City"
487,97.499Q,1998,3540,72A,3540,72A,lot absent from the parcel layer; extraction matches the minutes,"7.   97.499Q   (FALLAY)    987-97 - 14TH STREET , south side between Castro and Noe Streets; Lot 72A in Assessor's Block 3540, six unit residential condominium conversion subdivision in an RH-3 (House, three-family) District.       SPEAKERS: None       ACTION: Approved       AYES:     Chinchilla, Theoharis, Hills, Joe, Martin, Mills       ABSENT:   Antenore       MOTION No.: 14643     F."
4849,2002.0636DD,2003,5544,19,5544,19,lot absent from the parcel layer; extraction matches the minutes,"9. 2002.0636DD       (D. SIDER: (415) 558-6697)   111  MANCHESTER  STREET  -  east side,  south of  Stoneman Street, Lot 019 in Assessor's Block 5544 - Two Discretionary Review requests, the first initiated by Department Staff, pursuant to Planning Commission residential demolition policy, of Demolition Permit Application Number 2002.04.22.4580, which would demolish an existing single family dwelling, and the second initiated by a member the public, of Building Permit Application Number 2002.04.22.4585, which would construct a new single family dwelling on the same site. The property is locate"
23,97.536E,1998,3727,7,3727,7,lot absent from the parcel layer; extraction matches the minutes,"2. 97.536E (NISHIMURA)    1100 HOWARD STREET , northwest corner of 7th Street, lot 7 in Assessor's Block 3727; within a South of Market SLR (Service/Light Industrial/Residential, Mixed Use) District and a 50-X Height and Bulk District. An appeal of a preliminary negative declaration published November 1, 1997, for a proposed project involving new construction of 14 live/work units in a four story, 49 foot tall, approximately 23,665 gross square foot building on an undeveloped 6,750 square foot lot currently used for privately leased parking and formerly used as a gasoline service station. Fift"
431,97.227E,1998,3753,66,,66,undetermined: the block text does not print a block and a lot,"6.	97.227E	(GLASNER)    249 SHIPLEY STREET , 12 Live/Work Units: Appeal of Preliminary Negative Declaration.  The proposal is to construct 12 live/work units in one building at 249 Shipley Street (Assessor's  3753, Lot 66), on the south side of the street between 5th and 6th Streets.  The project site is currently used for vehicle parking and a one-story taxi maintenance building and three service bays on the southwest corner.  The existing 13,625 square-foot lot would be subdivided into two lots, one facing Shipley Street (approximately 5,625 square feet), and the other fronting Clara Street "
1277,1999.039D,1999,1213,4,1213,4,lot absent from the parcel layer; extraction matches the minutes,"10. 1999.039D (BEATTY)  550 STANYAN STREET , east side between Hayes and Fell Streets, Lot 004 in Assessor's Block 1213 -- Request for Discretionary Review of Building Permit Application No. 9810285, proposing to construct a nine-unit residential building in a RM-3 (Mixed, Medium Density) District.  (Continued from Regular Meeting of March 18, 1999)     SPEAKER(S):  Rick Stone, Lorraine Bader, Greg Burke, Jim Ostertag, Laurie Karjteller, Stephen Drewes, Jocelyn Herrick, Judith Boyem, Jim Reuben, David Sternberg, Joe O'Donaughue, Bruce Baumann, Connie Panagotacos, Sharon Panagotacos, Damon Hurl"
