locality,fips_geoid,he_adoption_date,hcd_certification_date,prohousing_date,status_sequence,exposure_window_inputs,source_url,confidence,flags
El Cerrito,0621796,2023-08-17,2023-08-22,designated,6S Adopted -> In (2023-08-22); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-08-17; HCD compliance finding 2023-08-22 (status=In); builder's-remedy exposure ~= deadline->finding = 6.7 months (alt. deadline->HE-received = 6.5 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,prohousing_date_to_verify(HCD tracker XLS)
Albany,0600674,2023-08-16,2023-09-08,not_designated,6S Adopted -> In (2023-09-08); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-08-16; HCD compliance finding 2023-09-08 (status=In); builder's-remedy exposure ~= deadline->finding = 7.2 months (alt. deadline->HE-received = 6.5 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
Tiburon,0678666,2023-09-22,2023-10-18,not_designated,6S Adopted -> In (2023-10-18); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-09-22; HCD compliance finding 2023-10-18 (status=In); builder's-remedy exposure ~= deadline->finding = 8.6 months (alt. deadline->HE-received = 7.7 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
Walnut Creek,0683346,2023-08-25,2023-10-24,2024-08-01,6S Adopted -> In (2023-10-24); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-08-25; HCD compliance finding 2023-10-24 (status=In); builder's-remedy exposure ~= deadline->finding = 8.8 months (alt. deadline->HE-received = 6.8 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,
Sonoma County,06097,2023-08-30,2023-10-26,2025,6S Adopted -> In (2023-10-26); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-08-30; HCD compliance finding 2023-10-26 (status=In); builder's-remedy exposure ~= deadline->finding = 8.8 months (alt. deadline->HE-received = 7.0 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,
Piedmont,0656938,2023-09-11,2023-11-09,not_designated,6S Adopted -> In (2023-11-09); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-09-11; HCD compliance finding 2023-11-09 (status=In); builder's-remedy exposure ~= deadline->finding = 9.3 months (alt. deadline->HE-received = 7.3 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
Sunnyvale,0677000,2024-02-29,2024-03-06,designated,6S Adopted -> In (2024-03-06); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2024-02-29; HCD compliance finding 2024-03-06 (status=In); builder's-remedy exposure ~= deadline->finding = 13.2 months (alt. deadline->HE-received = 12.9 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,prohousing_date_to_verify(HCD tracker XLS)
Burlingame,0609066,2024-03-15,2024-03-20,not_designated,6S Adopted -> In (2024-03-20); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2024-03-15; HCD compliance finding 2024-03-20 (status=In); builder's-remedy exposure ~= deadline->finding = 13.6 months (alt. deadline->HE-received = 13.5 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
Fairfax,0623168,2024-03-14,2024-04-08,not_designated,6S Adopted -> In (2024-04-08); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2024-03-14; HCD compliance finding 2024-04-08 (status=In); builder's-remedy exposure ~= deadline->finding = 14.2 months (alt. deadline->HE-received = 13.4 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
Solano County,06095,2024-02-09,2024-04-09,not_designated,6S Adopted -> In (2024-04-09); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2024-02-09; HCD compliance finding 2024-04-09 (status=In); builder's-remedy exposure ~= deadline->finding = 14.3 months (alt. deadline->HE-received = 12.3 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
San Carlos,0665070,2024-04-19,2024-04-25,not_designated,6S Adopted -> In (2024-04-25); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2024-04-19; HCD compliance finding 2024-04-25 (status=In); builder's-remedy exposure ~= deadline->finding = 14.8 months (alt. deadline->HE-received = 14.6 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
Palo Alto,0655282,2024-07-26,2024-08-20,not_designated,6S Adopted -> In (2024-08-20); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2024-07-26; HCD compliance finding 2024-08-20 (status=In); builder's-remedy exposure ~= deadline->finding = 18.6 months (alt. deadline->HE-received = 17.8 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
Daly City,0617918,2024-11-13,2024-12-03,not_designated,6S Adopted -> In (2024-12-03); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2024-11-13; HCD compliance finding 2024-12-03 (status=In); builder's-remedy exposure ~= deadline->finding = 22.1 months (alt. deadline->HE-received = 21.4 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
Santa Rosa,0670098,2025-07-28,2025-09-12,2025,6S Adopted -> In (2025-09-12); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2025-07-28; HCD compliance finding 2025-09-12 (status=In); builder's-remedy exposure ~= deadline->finding = 31.4 months (alt. deadline->HE-received = 29.9 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,
Clayton,0613882,2026-02-12,2026-04-13,not_designated,6S Adopted -> In (2026-04-13); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2026-02-12; HCD compliance finding 2026-04-13 (status=In); builder's-remedy exposure ~= deadline->finding = 38.4 months (alt. deadline->HE-received = 36.4 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
