locality,fips_geoid,minutes_url,earliest_minutes_year,continuity,gap_notes,type_basis,confidence,method,flags
Petaluma,0656784,https://petaluma.granicus.com/ViewPublisher.php?view_id=15,2010,continuous,Oldest entry Aug 2 2010 with confirmed Minutes link; minutes consistent 2010-2014 onward; archive does not extend before 2010,typed_minutes,med,granicus_viewpublisher_saw_minutes_links,combined_council_pcdc_body
Cloverdale,0614190,https://www.cloverdale.net/AgendaCenter,2011,gaps,CivicPlus PC year dropdown ('View More') lists 2011 then 2013-2026; 2012 not present (possible gap); only current-year docs rendered so minutes-vs-agenda not confirmed for 2011,type_ambiguous,low,civicplus_year_dropdown,dropdown_year_only;minutes_vs_agenda_unconfirmed
San Leandro,0668084,https://sanleandro.legistar.com/,2011,continuous,Legistar dropdown 2011-2026; Minutes PDF links in recent rows; oldest-year minutes not confirmed,typed_minutes,med,Legistar Year dropdown oldest=2011,oldest_year_minutes_unverified
San Ramon,0668378,https://sanramonca.iqm2.com/Citizens/Board/1015-Planning-Commission,2011,continuous,IQM2: year nav 2011-2026; 2008 query 0 meetings; 2011 returned 80 meetings with Minutes links (cancelled excepted); minutes confirmed from 2011,typed_minutes,high,web_fetch_iqm2_yearfilter,
Berkeley,0606000,https://berkeleyca.gov/your-government/public-records/berkeley-municipal-code,2012,continuous,Berkeley Granicus ViewPublisher view_id=5 year sidebar 2012-2026 contiguous; minutes-type ambiguous; records.cityofberkeley.info may go deeper,type_ambiguous,low,Berkeley Granicus archive year sidebar 2012-2026,minutes_type_unverified;deeper_records_portal_exists
Healdsburg,0633056,https://healdsburg.gov/AgendaCenter/Planning-Commission-3,2012,continuous,PC dropdown 2012-2026 with Minutes column header; no minutes docs rendered in view; older agendas/minutes in Document Center (not enumerated) so earliest could predate 2012,type_ambiguous,low,civicplus_agendacenter_year_dropdown,dropdown_year_only;earlier_in_doc_center_possible
Tiburon,0678666,https://www.townoftiburon.org/283/Agendas-Minutes-Staff-Reports,2012,continuous,Page refs 'Town Council Archives 2012-2016' + current CivicPlus AgendaCenter; 2012 oldest referenced; minutes-vs-packet content not opened,type_ambiguous,med,custom_cms_archive_link+civicplus,floor_from_archive_label
Fairfax,0623168,https://townoffairfaxca.gov/town-code/,2013,gaps,Public-meetings archive yearly pages 2013-2024 continuous; 2025 absent (likely under current pages). Used townoffairfaxca.gov/departments/meetings-agendas,typed_minutes,med,custom_cms_year_index,2025_missing_from_list
Hayward,0633000,https://hayward.legistar.com/Calendar.aspx,2015,continuous,Legistar dropdown 2013-2026; Action/Accessible Minutes links in recent rows; oldest-year minutes not directly confirmed,typed_minutes,high,[API depth-read] (supersedes prior dropdown floor 2013) Legistar webapi /hayward: earliest EventMinutesFile 2015-09-02. Prior dropdown floor 2013 ,oldest_year_minutes_unverified;api_verified
San Bruno,0665028,https://www.sanbruno.ca.gov/AgendaCenter/Planning-Commission-8,2013,continuous,"CivicPlus PC 'View More' dropdown listed 2013-2026 no gaps; default view recent agendas only, minutes at 2013 not directly confirmed",type_ambiguous,low,shallow_webfetch,dropdown_range_minutes_not_confirmed
Burlingame,0609066,https://burlingameca.legistar.com/Calendar.aspx,2014,continuous,"Legistar year dropdown 2014-2026 no gaps; default month no minutes (current), so minutes at 2014 not directly confirmed",type_ambiguous,high,[API depth-read] Legistar webapi /burlingameca: earliest EventMinutesFile 2014-07-28 (Planning Commission),dropdown_range_minutes_not_confirmed;api_verified
Mountain View,0649670,https://mountainview.legistar.com/,2014,continuous,"Legistar API: earliest EventMinutesFile 2014-01-07 (Council), continuous from 2014; pre-2014 not present (possible separate legacy system)",typed_minutes,high,legistar_api,
Sunnyvale,0677000,https://sunnyvaleca.legistar.com/,2014,continuous,Legistar API: earliest EventMinutesFile 2014-01-07 (Council); PC minutes from 2014-01-13; pre-2014 on separate system,typed_minutes,high,legistar_api,pre_2014_separate
Emeryville,0622594,https://emeryville.legistar.com/DepartmentDetail.aspx?ID=33956,2015,continuous,Legistar dropdown 2015-2025 contiguous; type unverified,type_ambiguous,high,[API depth-read] Legistar webapi /emeryville: earliest EventMinutesFile 2015-03-03 — confirms 2015.,minutes_type_unverified;api_verified
Clayton,0613882,https://claytonca.gov/government/commissions-and-committees/,2016,continuous,Custom CMS PC archive lists agendas+minutes+video by year 2016-2025; minutes confirmed Jan 26 2016; some early meetings cancelled/missing minutes; no separate Council minutes archive found,typed_minutes,med,custom_cms_year_dropdown,council_archive_not_found
Milpitas,0647766,https://milpitasca.portal.civicclerk.com/,2016,continuous,CivicClerk OData API: agenda/archive floor 2012-08-22 but 2013-2015 null minutesFile (agendas/packets only); earliest posted minutes 2016-01-04; agendas predate minutes ~3.5 yrs,typed_minutes,high,civicclerk_odata_api,agendas_2012_predate_minutes_2016
Palo Alto,0655282,https://cityofpaloalto.primegov.com/,2016,continuous,PrimeGov ListArchivedMeetings API: 2012-2015 empty; 2016 populated with Action + Summary Minutes from 2016-01-04 (Council); archive/minutes begin 2016,typed_minutes,high,primegov_api,archive_floor_2016
Lafayette,0639122,https://lafayette.granicus.com/ViewPublisher.php?view_id=19,2017,continuous,Granicus PC list shows minutes alongside agendas 2017; listing truncated so archive may extend earlier (2017 observed floor),typed_minutes,med,web_fetch_year_list,list_truncated_floor
Larkspur,0640438,https://www.ci.larkspur.ca.us/288/Agendas-and-Minutes,2017,continuous,"Dedicated CivicPlus City Council Minutes archive (AMID=104) 2017-2026, oldest 10/04/2017; minor missing months 2017-2018, consistent from 2019",typed_minutes,high,civicplus_minutes_archive,
Menlo Park,0646870,https://menlopark.granicus.com/ViewPublisher.php?view_id=6,2017,continuous,Granicus year menu 2006-2026 but inline Minutes links only from 2017 (earliest Jun 6 2017); Council view; possible truncation,typed_minutes,low,shallow_webfetch,default_view_body_uncertain;possible_truncation
Morgan Hill,0649278,https://morganhillca.portal.civicclerk.com/,2017,continuous,"CivicClerk OData API: archive floor 2017-01-03; earliest posted minutes 2017-01-10 (PC, 'Full Minutes'); minutes from archive start",typed_minutes,high,civicclerk_odata_api,minutes_via_publishedFiles
Orinda,0654232,https://www.cityoforinda.gov/AgendaCenter,2017,continuous,"CivicPlus: minutes confirmed from Jan 2017 (PC, Finance); body dropdowns to 2013; 'previous years in Document Center' (older exist, unread)",typed_minutes,med,web_fetch_agendacenter,older_in_doc_center;dropdown_floor_2013
Santa Clara,0669084,https://santaclara.legistar.com/,2018,continuous,"Legistar API: earliest EventMinutesFile 2018-11-01 (Historical & Landmarks Comm), continuing 2019 across bodies; no minutes-file events before Nov 2018",typed_minutes,high,legistar_api,
Moraga,0649187,https://www.moraga.ca.us/AgendaCenter,2019,unknown,"CivicPlus: minutes confirmed from Feb 2019 (DRB, PC); body year selectors extend to 2015 (likely contain minutes but not rendered)",typed_minutes,low,web_fetch_agendacenter,dropdown_floor_2015;confirmed_floor_2019
Rio Vista,0660984,https://riovista-ca.granicus.com/ViewPublisher.php?view_id=1,2019,continuous,Granicus archive 2019-2026; earliest Minutes link Council Dec 17 2019; continuous to present with occasional meetings lacking minutes (cancellations),typed_minutes,med,granicus_viewpublisher,
Sausalito,0670364,https://www.sausalito.gov/city-government/city-council/meetings-and-agendas,2019,continuous,Granicus dropdown 2012-2026; Minutes links confirmed back to Jun 2019. Separate Doc Archives hold agendas/packets 2007-2010. Minutes 2012-2018 unverified,typed_minutes,low,granicus_dropdown_render_limited,render_limited_floor;minutes_2012-2018_unverified
Dublin,0620018,https://www.dublin.ca.gov/1604/Meetings-Agendas-Minutes-Video-on-Demand,2020,continuous,CivicPlus hosts minutes 2020-present; pre-2020 moved to separate citydocs.dublin.ca.gov archive (depth not verified),typed_minutes,med,CivicPlus page states minutes 2020-present; pre-2020 in separate citydocs archive,pre2020_archive_depth_unknown
San Rafael,0668364,https://www.cityofsanrafael.org/city-council-meetings/,2020,continuous,Council-meetings page lists yearly archives back to '2020 City Council Meeting Archive'; pre-2019 video + older records in separate publicrecords portal,typed_minutes,med,custom_cms_year_index,older_records_separate_portal
Belvedere,0605164,https://www.cityofbelvedere.org/public-meetings-archive/,2021,continuous,Custom-CMS archive year filter offers 2021-2026; none before 2021,typed_minutes,med,custom_cms_year_filter,pre2021_not_posted
Napa County,06055,https://napa.legistar.com/Calendar.aspx,2021,continuous,Legistar Year dropdown oldest selectable 2021 (2021-2026); Minutes column exists but no old minutes link verified; 2021 earliest year present in listing,type_ambiguous,high,[API depth-read] Legistar webapi /napa: earliest EventMinutesFile 2021-05-04 (Board of Supervisors),minutes_not_individually_verified;dropdown_based;api_verified
St. Helena,0664140,https://www.cityofsthelena.gov/agendacenter,2021,unknown,"CivicPlus AgendaCenter rendered only 'Board of Appeals' (Feb 22 2021, distinct Minutes link); Council and other categories did not render (JS); 2021 is earliest MINUTES observed, not necessarily floor",typed_minutes,low,civicplus_agendacenter_partial_render,js_partial_render;only_board_of_appeals_visible
Vacaville,0681554,https://vacaville.granicus.com/ViewPublisher.php?view_id=2,2021,continuous,Granicus archive 2021-2026 with Agenda/Minutes/Video for all; earliest Minutes link Apr 7 2021; 2020-and-prior not present in listing,typed_minutes,med,granicus_viewpublisher,
Los Altos,0643280,https://losaltosca.portal.civicclerk.com/,2022,continuous,CivicClerk OData API: archive floor 2022-01-25; earliest posted minutes 2022-02-08 (Council); minutes from archive start,typed_minutes,high,civicclerk_odata_api,minutes_via_publishedFiles
Belmont,0605108,https://belmont-ca.granicus.com/ViewPublisher.php?view_id=1,2023,continuous,"Granicus inline Minutes links begin early 2023; Dec 2022 meeting without minutes. Range 2022-2026, no visible gaps; likely Council/default view",typed_minutes,med,shallow_webfetch,default_view_body_uncertain
East Palo Alto,0620956,https://cityofepa.granicus.com,2023,continuous,Granicus inline Minutes links 2023-2025; 2026 lacks minutes (recent). Range 2023-2026; Council default view,typed_minutes,med,shallow_webfetch,default_view_body_uncertain
Gilroy,0629504,https://gilroyca.portal.civicclerk.com/,2023,continuous,CivicClerk OData API: archive floor 2022-09-12; earliest posted minutes file 2023-01-09 (Council); Sep-Dec 2022 agendas but no minutes,typed_minutes,high,civicclerk_odata_api,agendas_2022_predate_minutes
Pittsburg,0657456,https://pittsburg.granicus.com/ViewPublisher.php?view_id=2,2023,continuous,Granicus year dropdown 2007-2026; minutes links begin 2023 (first Council 1/17/2023); 2007-2022 agenda/video only,typed_minutes,med,web_fetch_year_dropdown,agendas_to_2007_minutes_2023
Marin County,06041,https://www.marincounty.gov/departments/board/board-supervisors-meetings,2005,continuous,Granicus BOS archive view_id=33 Year dropdown only 2024-2026 with minutes from 01/09/2024; consistent with 2024 platform/domain migration; pre-2024 in prior system,typed_minutes,high,[bundle Task2] legacy Granicus marin.granicus.com + marincounty.org oldmeetingarchive; BoS minutes online since 2005 (1995-2005 older archive),likely_2024_system_migration;pre2024_elsewhere;migration_resolved
Martinez,0646114,https://martinez.granicus.com/ViewPublisher.php?view_id=2,2024,unknown,Granicus: oldest visible Apr 2023 (agenda only); minutes links begin Jan 2024; dropdown not separately confirmed,typed_minutes,low,web_fetch_default_view,dropdown_unconfirmed
Mill Valley,0647710,https://cityofmillvalley.granicus.com,2024,unknown,Granicus Year dropdown 2010-2026 (archive depth) but Minutes links only confirmed 2024; 2023 Agenda/Video only. Render-limited floor,typed_minutes,low,granicus_dropdown_render_limited,render_limited_floor;minutes_depth_pre2024_unverified
Saratoga,0670280,https://www.saratoga.ca.us/AgendaCenter/Planning-Commission-6,2026,unknown,"CivicPlus PC; 2026 Minutes links seen (oldest 2026-01-14), year dropdown back to 2017 but prior-year minutes via JS accordion not in HTML; pre-2026 not shallowly verifiable",typed_minutes,low,civicplus_agendacenter_shallow,accordion_js_not_readable;2026_minutes_seen
Woodside,0686440,https://www.woodsideca.gov/AgendaCenter/Planning-Commission-11,2026,unknown,CivicPlus PC dropdown 2023-2026; inline Minutes only confirmed 2026 (Jan-May); 2023-2025 listed without visible minutes; older in Laserfiche archive not assessed,typed_minutes,low,shallow_webfetch,older_archive_laserfiche_unverified
Alameda County,06001,https://www.acgov.org/cda/planning/agendas.htm,unknown,unknown,CDA planning agendas/minutes via external app not rendered in static page,type_ambiguous,low,static agendas.htm references external app only,portal_no_archive_view
Albany,0600674,https://albanyca.primegov.com/Portal/Meeting?meetingTemplateId=10328,2009,unknown,PrimeGov shows only current meetings; typed minutes seen May/June 2023 but no archive-depth nav,typed_minutes,high,[API depth-read] PrimeGov ListArchivedMeetings: earliest year with a Minutes-type doc = 2009,portal_no_archive_view;api_verified
American Canyon,0601640,https://cityofamericancanyon.civicweb.net/Portal/MeetingInformation.aspx,unknown,unknown,CivicWeb portal refused all connections (ECONNREFUSED) repeatedly; meeting list not shallowly readable,unknown,low,attempted_fetch_civicweb_portal,unverifiable_blocked
Antioch,0602252,https://www.antiochca.gov/government/agendas-and-minutes/,unknown,unknown,Given minutes-archive URL returned HTTP 404; could not verify,unknown,low,web_fetch_404,unverifiable_blocked
Atherton,0603092,https://www.athertonca.gov/641/Agendas-Minutes,unknown,unknown,Custom CivicPlus page references a 'Minutes Archive' portal but exposes no dates inline,unknown,low,shallow_webfetch,not_shallowly_readable
Benicia,0605290,https://benicia.granicus.com/ViewPublisher.php?view_id=1,unknown,unknown,Granicus ViewPublisher view_id=1 renders only commission archives (with Minutes) — NO City Council section across 3 attempts; Council agendas via AgendaViewer; web search implies records online ~2006 but Council MINUTES year not seen,type_ambiguous,low,granicus_viewpublisher+websearch,city_council_minutes_not_shallowly_readable
Brentwood,0608142,https://pub-brentwood.escribemeetings.com/,unknown,unknown,eScribe portal returned HTTP 403 on base and year-param URLs; not shallowly readable,unknown,low,web_fetch_403,bot_protection_403;unverifiable_blocked
Brisbane,0608310,https://www.brisbaneca.org/meetings,unknown,unknown,Municode Meetings js_shell; not shallowly readable,unknown,low,shallow_webfetch,unverifiable_blocked
Calistoga,0609892,https://www.ci.calistoga.ca.us/city-hall/city-council/agendas-minutes,unknown,unknown,City site refused all connections (ECONNREFUSED) repeatedly; agendas/minutes page not reachable,unknown,low,attempted_fetch_city_page,unverifiable_blocked
Campbell,0610345,https://www.campbellca.gov/AgendaCenter/Planning-Commission-6,2006,continuous,"CivicPlus PC; year dropdown 2005-2026 but prior-year minutes via JS accordion not in HTML; even 2026 rows showed Agenda only, no Minutes link; posted minutes depth not readable",unknown,high,[bundle Task1] CivicPlus AgendaCenter Search CID=6: minutes 2006-2016 continuous,accordion_js_not_readable;no_minutes_link_seen;civicplus_search_verified
Colma,0614736,https://www.colma.ca.gov/departments/planning/,unknown,unknown,"Custom CMS, access unknown; not assessed per access rule",unknown,low,shallow_webfetch,unverifiable_blocked
Concord,0616000,https://stream.ci.concord.ca.us/OnBaseAgendaOnline/,unknown,unknown,OnBase: minutes PDFs confirmed 2025-2026 (default window only); 'search limit' blocks shallow read of older years; true floor undetermined,typed_minutes,low,web_fetch_default_window,depth_not_readable;floor_2025
Contra Costa County,06013,https://contra-costa.legistar.com/,2023,continuous,Legistar earliest selectable 2023; Minutes columns 'Not available' on upcoming view; deeper years not confirmed,type_ambiguous,high,[API depth-read] Legistar webapi /contra-costa: earliest EventMinutesFile 2023-09-05,minutes_unconfirmed;legistar_floor_2023;api_verified
Cotati,0616560,https://www.cotaticity.gov/AgendaCenter,unknown,unknown,Main /AgendaCenter rendered only search shell; PC category page 302-redirected to CivicPlus IdentityServer sign-in; no years/minutes observed,unknown,low,civicplus_agendacenter,unverifiable_blocked;js_not_rendered;auth_redirect
Cupertino,0617610,https://cupertino.legistar.com/,unknown,unknown,Legistar API: EventMinutesStatus='Final' back to 2005-09-20 but EventMinutesFile null for every event; minutes-status implies records but no posted file URL exposed,type_ambiguous,low,legistar_api,minutes_file_field_empty;status_final_to_2005
Daly City,0617918,https://dalycityca.portal.civicclerk.com,2009,gaps,CivicClerk portal js_shell; not shallowly readable (prior pilot: minutes sparse in API),unknown,high,[API depth-read] CivicClerk OData: earliest Minutes-type file 2009-03-23 (minutes sparse but present),unverifiable_blocked;api_verified
Danville,0617988,https://danville-ca.granicus.com/ViewPublisher.php?view_id=9,unknown,unknown,"Granicus 'Summary of Actions' (minutes-equivalent) confirmed from Mar 2024; archive/year dropdown not in static HTML, older depth unreadable",type_ambiguous,low,web_fetch_default_view,dropdown_not_readable;floor_2024
Dixon,0619402,https://dixon-ca.granicus.com/ViewPublisher.php?view_id=6,unknown,unknown,Granicus ViewPublisher view_id=6 exceeds WebFetch 10MB limit on every attempt; dropdown not parseable; web search: DVDs 1998-2009 offline-only; online posted minutes year not seen,unknown,low,granicus_viewpublisher(page_too_large)+websearch,archive_page_too_large_to_parse
El Cerrito,0621796,https://elcerritoca.portal.civicclerk.com/,2008,unknown,CivicClerk portal is a JS shell; static fetch returns header only,unknown,high,[API depth-read] CivicClerk OData: earliest Minutes-type file 2008-10-06,js_shell_unreadable;unverifiable_blocked;api_verified
Fairfield,0623182,https://eservices.fairfield.ca.gov/WebLink/Browse.aspx?id=82049&dbid=0&repo=SharedDocs,unknown,unknown,Laserfiche WebLink browse URL returned HTTP 403; folder structure not viewable,unknown,low,laserfiche_weblink_403,unverifiable_blocked
Foster City,0625338,https://fostercityca.civicclerk.com/web/site.aspx/,unknown,unknown,CivicClerk portal js_shell; not shallowly readable,unknown,low,shallow_webfetch,unverifiable_blocked
Fremont,0626000,https://www.fremont.gov/government/agenda-center,unknown,unknown,CivicPlus agenda center behind Akamai 403,type_ambiguous,low,access blocked (akamai_403),unverifiable_blocked;akamai_403
Half Moon Bay,0631708,https://www.halfmoonbay.gov/AgendaCenter,unknown,unknown,AgendaCenter cites Document Center for prior years; PC body URL redirected to CivicPlus auth login,unknown,low,shallow_webfetch,not_shallowly_readable;auth_redirect
Hercules,0633308,https://hercules.legistar.com/,2017,continuous,Legistar earliest selectable 2017; Minutes column 'Not available' on upcoming view; past-meeting minutes not confirmed; agenda coverage to 2017,type_ambiguous,high,[API depth-read] Legistar webapi /hercules: earliest EventMinutesFile 2017-09-05 (Planning Commission),minutes_unconfirmed;agenda_floor_2017;api_verified
Livermore,0641992,https://www.livermoreca.gov/departments/city-clerk/city-council-meeting-calendar-agendas,unknown,unknown,"Source URL was a city-clerk landing page, not the Legistar calendar; not probed within time-box",type_ambiguous,low,not reached shallowly (landing page),not_probed
Los Altos Hills,0643294,https://www.losaltoshills.ca.gov/AgendaCenter,2022,unknown,CivicPlus accordion JS not in HTML; one read suggested minutes ~2024 with agendas back ~2021 but unverified; no PC category URL confirmed,unknown,med,[bundle Task1] CivicPlus static HTML minutes 2022-2026; deeper archive CID JS-gated,accordion_js_not_readable;observation_unverified;civicplus_static_floor
Los Gatos,0644112,https://losgatos-ca.municodemeetings.com/,unknown,unknown,"Municode Meetings js_shell: default shows recent only (~May 2026); a Minutes PDF appears on recent Council meetings; year dropdown 1976-2029 is a generic range, not archive depth",unknown,low,municode_portal_shallow,js_shell;dropdown_range_not_data
Millbrae,0647486,https://www.ci.millbrae.ca.us/AgendaCenter/Planning-Commission-8/,unknown,unknown,CivicPlus PC dropdown showed 2023 plus unexpanded 'View More'; no minutes confirmed shallowly,unknown,low,shallow_webfetch,view_more_not_expanded
Monte Sereno,0648956,https://www.montesereno.org/AgendaCenter,unknown,unknown,CivicPlus landing did not expose a PC category or minutes rows in HTML; no archive data readable,unknown,low,civicplus_agendacenter_shallow,no_data_in_shell
Newark,0650916,https://www.newarkca.gov/departments/city-manager-s-office/meetings-agendas-minutes,unknown,unknown,Minutes via external JS app; static page not readable / 403 on retry,type_ambiguous,low,minutes behind external JS app,unverifiable_blocked;portal_no_archive_view
Novato,0652582,https://www.novato.gov/government/city-council/agendas-minutes-videos,unknown,unknown,Custom-CMS page 403; Granicus council archive view_id=7 extends back but render truncated. Web search surfaced a 2011 council minutes PDF (not in a year listing),type_ambiguous,low,granicus_render_truncated,render_truncated;floor_unseen
Oakley,0653070,https://www.oakleyca.gov/agendacenter,unknown,unknown,CivicPlus year nav JS-driven; static fetch returned search framework only,unknown,low,web_fetch_agendacenter_empty,js_nav_unreadable
Pacifica,0654806,https://pacificacityca.iqm2.com/Citizens/Default.aspx,unknown,unknown,"IQM2 js_shell; only current May/Jun 2026 render, archive needs JS",unknown,low,shallow_webfetch,unverifiable_blocked
Pinole,0657288,https://pinoleca.portal.civicclerk.com/,2019,unknown,CivicClerk portal is a JS shell; static fetch header only,unknown,high,[API depth-read] CivicClerk OData: earliest Minutes-type file 2019-01-15 (scanned 450 events asc),js_shell_unreadable;unverifiable_blocked;api_verified
Pleasant Hill,0657764,https://www.phillca.gov/277/Agendas,unknown,unknown,"CivicPlus: ~22 bodies enumerated but year dropdowns JS-only, not rendered; no range readable",unknown,low,web_fetch_agendacenter,js_nav_unreadable
Pleasanton,0657792,https://pleasantonca.portal.civicclerk.com/,2023,continuous,CivicClerk portal renders only as JS shell,type_ambiguous,high,[API depth-read] CivicClerk OData: earliest Minutes 2023-11-07; CivicClerk archive itself starts 2023,unverifiable_blocked;js_shell;api_verified
Portola Valley,0658380,https://www.portolavalley.net/town-government/planning-commission/minutes-and-agendas,unknown,unknown,Akamai 403; not assessed per access rule,unknown,low,shallow_webfetch,unverifiable_blocked
Redwood City,0660102,https://meetings.redwoodcity.org/AgendaOnline,unknown,unknown,"Hyland OnBase AgendaOnline, unsupported platform; not assessed",unknown,low,shallow_webfetch,unverifiable_blocked
Richmond,0660620,https://richmond.granicus.com/ViewPublisher.php?view_id=3,unknown,unknown,Granicus dropdown 2004-2026 but oldest (2004-2008) Video-only; minutes via separate RSS; year minutes links begin not determinable shallowly,type_ambiguous,low,web_fetch_year_dropdown,minutes_not_row_linked;video_to_2004
Ross,0662980,https://www.townofrossca.gov/meetings,unknown,unknown,"Custom-CMS default-rendered only 2025-2026, no year filter visible; older minutes not surfaced",type_ambiguous,low,custom_cms_default_render,no_year_filter_visible;floor_unseen
San Anselmo,0664434,https://www.townofsananselmo.org,unknown,unknown,CivicPlus showed only EconDev (2016-2019) and PC (2016-2021) categories; no Town Council minutes category rendered. Site refs 'TC Meeting Packets Prior to Sept 2014' (packets). TC minutes location unclear,type_ambiguous,low,civicplus_agendacenter,tc_category_not_found;structure_unclear
San Carlos,0665070,https://cityofsancarlos.primegov.com,2008,unknown,PrimeGov js_shell; not shallowly readable,unknown,high,[API depth-read] PrimeGov ListArchivedMeetings: earliest year with a Minutes-type doc = 2008,unverifiable_blocked;api_verified
San Jose,0668000,https://sanjose.legistar.com/,2005,unknown,"Web Legistar minutes Akamai-blocked (prior pilot); webapi events query with minutes-file filter returned empty (client name may differ), inconclusive",unknown,med,[bundle Task2] Granicus minutes RSS lists minutes 2005-2018 (depth confirmed) but docs Akamai-blocked,unverifiable_blocked;listing_confirmed_docs_akamai_blocked
San Mateo,0668252,https://www.cityofsanmateo.org/3971,2019,continuous,PrimeGov landing links out to a Legislative Records Portal (js) + video archive Nov 2014-Apr 2019; no minutes years inline,unknown,high,"[API depth-read] PrimeGov ListArchivedMeetings (slug 'sanmateo'): meetings 2019-2026, Minutes doc-type pres",unverifiable_blocked;api_verified
San Pablo,0668294,https://www.sanpabloca.gov/1400/City-CouncilLSA-Planning-Comm-AgendasMin,unknown,unknown,CivicPlus landing links out to Legistar (current) + CivicPlus archive for 'prior years minutes'; no year range readable here,unknown,low,web_fetch,hybrid_offsite_archive
Santa Clara County,06085,https://sccgov.iqm2.com/citizens/default.aspx,2008,unknown,IQM2 (sccgov.iqm2.com) shows only recent (~2024 forward); notice: BoS Jan-May 2024 on separate OneMeeting portal; no year filter on landing; deep minutes year unverifiable shallowly,unknown,med,[bundle Task2] legacy IQM2 sccgov.iqm2.com reachable; BoS meetings w/ Minutes back to ~2008 (minutes-type indicated),portal_recent_only;older_redirected;migration_resolved;minutes_type_indicated
Sebastopol,0670770,https://www.cityofsebastopol.gov/your-government/city-meeting-calendar/,unknown,unknown,Custom-CMS calendar shows no written-minutes archive; only video archives (PC video ~2020; general 2017+); site directs to records request for minutes,agendas_only,med,custom_cms_calendar+minutes_page_404+websearch,no_minutes_archive_found;video_only
